Name,StatusApril,Status,Type,Location,Description,FundingSource,ProjectTeam,ProjectTeamInfo,Image,Link,Center
Ninth Street Bicycle Boulevard Pathway Extension Phase II ,Completed,Completed,Transportation,"Phase II will construct the last two sections of new shared-use pathway on City-owned property; one section from the end of Ninth Street just south of the intersection with Heinz Avenue to Ashby Avenue, and the other section between Ashby Avenue and Murray Street.","Supported by the City’s Bicycle Master Plan, adopted by Council in April 2017, the Project will close the last gap in this important north-south urban bicycle corridor, which serves many biking and walking trips by residents, employees, and retail customers in the Project’s immediate vicinity. Construction began in March 2020 and is anticipated to be complete in Fall 2021. Phase I, completed in 2012, created a 0.1-mile, two-block section of Class 1 pathway from Murray Street to the Emeryville Greenway. Bicycle and pedestrian access from the Phase I pathway to the Ninth Street Bicycle Boulevard, is currently provided by a temporary Class 3 bicycle route on another section of Ninth Street that is separate from the main Ninth Street Bicycle Boulevard. A Class 3 bike route is a street designated for bicycle travel and shared with motor vehicles. This temporary route was constructed along Ninth Street between Anthony Street and Murray Street and on private property belonging to Berkeley Bowl West through a temporary easement, which was part of the provisions in their development agreement with the City. This Class 3 facility does not provide adequate bicycle and pedestrian access because it requires a longer, non-linear route and requires bicyclists to share a relatively narrow and congested road with motor vehicles. Phase II completes the pathway connection between West Berkeley and Emeryville by providing a safer, more direct, and continuous off-street route and intersection crossing, as opposed to the current temporary route. Phase II will construct the last two sections of new shared-use pathway on City-owned property; one section from the end of Ninth Street just south of the intersection with Heinz Avenue to Ashby Avenue, and the other section between Ashby Avenue and Murray Street. Phase II will also construct signal and intersection improvements near the intersection of Ninth Street and Ashby Avenue, where the pathway will cross Ashby Avenue.","['Measure B & BB', 'Active Transportation Program']",['Kenneth Jung'],"[['Kenneth Jung', 'Associate Civil Engineer']]",https://berkeleyca.gov//sites/default/files/2022-03/9thStPic.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/ninth-street-bicycle-boulevard-pathway-extension-phase-ii,
North Berkeley Senior Center,Construction,Construction,Facility,1901 Hearst St,"This is a Measure T1 Phase 1 Project. The North Berkeley Senior Center (NBSC) houses a dynamic community offering a variety of activities, classes, and services for seniors. The renovations and seismic upgrade project will modernize the interior and provide much needed upgrades to improve the safety and functionality of the building, including seismic for “care and shelter” requirements as well as ADA compliance. The project includes seismic retrofit of the building, deferred maintenance upgrades, and programming improvements. The center will serve as a Care and Shelter facility during emergencies.","['Measure T1', 'Federal Emergency Management Agency Grant']",['Elmar Kapfer'],"[['Elmar Kapfer', 'Supervising Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-10/north-berkeley-senior-center.png,https://berkeleyca.gov/your-government/our-work/capital-projects/north-berkeley-senior-center,
Ohlone Greenway Safety Improvements Project,Construction,Planning,Transportation,"This project will make improvements to the Ohlone Greenway multi-use pathway, from Virginia Gardens to the south to Santa Fe Avenue to the north. It includes the following intersections: Virginia Gardens, Cedar Street, Rose Street, Hopkins Street, Peralta Avenue, Gilman Street, and Santa Fe Avenue.","The goals of the Ohlone Greenway Safety Improvements Project are to upgrade a portion of the existing multi-use pathway, from Virginia Gardens to the south to Santa Fe Avenue to the north. The upgrades aim to better accommodate the needs of all users and improve safety, especially at roadway intersections and at night. Upgrades will focus on the following: For more information on this project, including links to public meetings and surveys, please visit the project website.","['Vehicle Registration Fee (VRF)', 'Measure B & BB']",['Ken Jung'],"[['Ken Jung', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-02/Ohlone_Greenway_BaseMap.png,https://berkeleyca.gov/your-government/our-work/capital-projects/ohlone-greenway-safety-improvements-project,"[37.87567418270633, -122.2868287942862]"
Ohlone Park (East) Playground Replacement and Site Improvements,Construction,Construction,Park,"1900 Block of Hearst Avenue, between Bonita Street and Milvia Street, Berkeley, CA 94704","This is a Measure T1 Phase 2 project. Improvements include the replacement of the age 2-5 playground and age 5-12 playground; new pollinator garden with native plantings; installation of new art works facilitated by the City of Berkeley Civic Arts Program; accessibility improvements throughout the site; activity area; landscaping and irrigation improvements; drainage improvements; and various other site improvements. This project is currently in the construction phase. The low bid was approved by Council on December 13, 2022. Construction is anticipated to break ground in February 2023 and a ribbon-cutting in Fall 2023. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the Ohlone Park Improvements email list” and provide your preferred contact information.","['Measure T1', 'Measure F']","['Stacey Rutherford', 'Evelyn Chan']","[['Stacey Rutherford', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-06/Ohlone%20Park%20%28East%29%202-5%20Playground.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/ohlone-park-east-playground-replacement-and-site,
Ohlone Park Restroom and Lighting Improvements,Construction,Planning,Park,"1500-1900 Blocks of Hearst Avenue, between Sacramento Street and Milvia Street","This is a Measure T1 Phase 2 project. Proposed improvements include lighting improvements, installation of a permanent restroom, and various site related improvements. A conceptual plan was presented at a public meeting in November 2022, and public feedback will be incorporated into a preferred conceptual design. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the Ohlone Park Restroom & Lighting email list” and provide your preferred contact information.",['Measure T1'],['Stacey Rutherford'],"[['Stacey Rutherford', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-10/Ohlone%20Existing%20Lighting.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/ohlone-park-restroom-and-lighting-improvements,"[37.872858442656735, -122.27675454660864]"
Panoramic Hill Rehabilitation Project ,Completed,Completed,Street,"The project rehabilitated approximately 1.3 miles of pavement on Panoramic Way, Prospect, Bancroft, Canyon, Mosswood, Arden, Dwight, and Panoramic Place.","The scope also includes drainage, sidewalk, curb and gutter, driveways, curb ramps, retaining walls, signing, and striping. This project was funded by Measure M.","['Measure M', 'State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-10/Panoramic%20Hill%20Rehabilitation%20Project.png,https://berkeleyca.gov/your-government/our-work/capital-projects/panoramic-hill-rehabilitation-project,
Parker-Addison Mobility and Safety Improvements Project,Design,Design,Transportation,"West Berkeley bounded by University Ave, Acton St, Ward St. and Sixth St.","The Parker-Addison Mobility and Safety Improvements Project was created as a result of the Council approvedBerkeley Bicycle Plan(2017) and Pedestrian Plan (2020) which identify and recommend infrastructure improvements to ensure all modes of transportation are safe, comfortable, and convenient for people of all ages and abilities. The primary goals of the project involve expanding the City’s interconnected network of bikeways, and connecting neighborhoods in the disadvantaged West Berkeley area to the North Berkeley BART rail station by way of a shared bikeway connection to the existing West Street Pathway. The new improvements will also connect West Berkeley with San Pablo Park and other green spaces. The general scope of the project involves installation of bike boulevard infrastructure consisting of striping, pavement markings, and wayfinding signage along the length of the corridor. The Parker Addison Mobility and Safety Improvements project also includes new traffic circle construction, Rectangular Rapid Flashing Beacons (RRFBs), traffic calming, sidewalk, curb ramp construction, and striping. The project will also widen the existing ramp walkway located at the north end of the Strawberry Creek Park basketball courts, as well as two adjacent curb ramps located at both ends of the West Street cul-de-sac. Speed tables will be installed on Bonar Street, from Addison Street to Allston Way, as a result of a community-initiated traffic calming study performed by the Traffic Engineering Department. The Parker-Addison Mobility and Safety Improvements project will provide one continuous bikeway network connecting West Berkeley to San Pablo Park, the North Berkeley BART station, and other key areas throughout Berkeley. Furthermore, the new bike boulevard on Parker Street will connect residents to the industrial and commercial areas of West Berkeley as well as to the existing Channing Way Bike Boulevard, Downtown Berkeley, the UC Berkeley campus, and other existing and proposed north-south Bicycle Boulevards, including several schools, parks and residential areas. Questions or comments? Please contact the project manager, Ian Bronswick, Associate Civil Engineer, ibronswick@cityofberkeley.info. The Parker-Addison Mobility and Safety Improvements Project is related to the State of California Affordable Housing and Sustainable Communities (AHSC) grant funded project, “Improvements Related to 2527 San Pablo Avenue, The Blake Apartments”. The project received a total of $1,420,302 in grant funding to construct sustainable transportation infrastructure (STI) and transit related amenities (TRA) improvements within the identified project area, of which $870,000 is allocated to cover design and construction costs focused around the Parker-Addison Mobility and Safety Improvements Project. The City will fund the remaining project costs using Measure BB (Bike/Pedestrian) funds.  The remaining grant funding is allocated towards TRA improvements currently in design under a separate project, involving construction of bus bulbs, bus pads, and new shelters containing bench seating, solar-powered lighting, and other transportation improvements located at the intersections of University Ave. / Acton St., and University Ave. / Bonar St.","['Measure B & BB', 'Affordable Housing and Sustainable Communities (AHSC)']",['Pedram Massoudi'],"[['Pedram Massoudi', 'Associate Transportation Engineer', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-11/AddisonBBProjectPlan_1.png,https://berkeleyca.gov/your-government/our-work/capital-projects/parker-addison-bike-boulevard,
Pathway Repairs and Improvements,Construction,Construction,Sidewalk,Various Locations,"This is a Measure T1 Phase 2 project. This project will improve the citywide network of pedestrian paths. Construction is approximately 75% complete. Work has been performed at: Florida Walk, Fountain Walk, La Vereda Steps/Virginia Steps, Vincente Path, and new signage at numerous locations. Additional work in 2023 is pending at the following locations: Upper Columbia Path, Tunbridge Lane, Visalia Walk.","['Measure T1', 'Capital Improvement Fund', 'General Fund']",['Terrence Salonga '],"[['Terrence Salonga ', 'Associate Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Pathways%201.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/pathway-repairs-and-improvements,
Presentation Park Rain Garden ,Construction,Completed,Park,Allston Way at Strawberry Creek,"A rain garden in Presentation Park collects, cleans and infiltrates storm water runoff from Allston Way before it enters Strawberry Creek. This project was funded by Measure M.",['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-10/Presentation%20Park%20Rain%20Garden.png,https://berkeleyca.gov/your-government/our-work/capital-projects/presentation-park-rain-garden,"[37.867037468307366, -122.28638865735304]"
Public Safety Building Improvements,Design,Design,Facility,2100 MLK Jr. Way,"This is aMeasure T1 Phase 1 project. The Ronald T. Tsukamoto Public Safety Building is the headquarters for the City of Berkeley’s Fire and Police Departments. The building also includes a detention center, the City’s Public Safety Communications Center, staff locker rooms and gym, and a shooting range. This project includes feasibility and cost assessment to install back-up cooling units for the IT server room.",['Measure T1'],['Nick Cartagena'],"[['Nick Cartagena', 'Associate Civil Engineer', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img_Public-safety-building-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/public-safety-building-improvements,
Rain Garden at Vine and Spruce ,Completed,Completed,Storm,Vine Street and Spruce Street,"Storm water runoff from Vine Street is captured in an inlet and routed into a planted bio retention area (rain garden) inside the traffic circle. This area reduces water volume on the street by holding the water temporarily, allowing it to infiltrate slowly through the vegetation and porous soil and recharge groundwater. This project was funded by Measure M.",['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-10/Vine%20%26%20Spruce.png,https://berkeleyca.gov/your-government/our-work/capital-projects/rain-garden-vine-and-spruce,
Redesigning Adeline Street at Ashby BART,Design,Design,Transportation,The Adeline Street at Ashby BART project will reconfigure Adeline Street and create a public plaza on the west side of Adeline Street all the way between Ashby Avenue and Martin Luther King Jr. Way.,"The Adeline at Ashby BART project presents an opportunity to transform a street that is currently challenging for pedestrians and people riding bikes, and lacking in usable public space, into a safe and welcoming street.  The project builds on the Adeline Corridor Specific Plan effort and responds to a City Council referral to analyze the potential for a redesign of part of Adeline Street in order to increase safety for pedestrians, cyclists, and people living with disabilities, while also meeting the needs of public transit and emergency vehicles. The study is evaluating a “road diet” that reduces the width of Adeline Street adjacent to the Ashby BART station from the current four traffic lanes to two lanes.  The study will develop and evaluate conceptual design options that work toward achieving project goals and priorities, including accommodating the Berkeley Flea Market. Project Meeting Schedule October 3, 2022: Community Meeting October 20, 2022: Transportation & Infrastructure Commission Meeting November 2022: City Council consideration and potential adoption of design concept","['Measure B & BB', 'Federal Transit Administration Transit Oriented Development Pilot Program']",['Eric Anderson'],"[['Eric Anderson', 'Acting Principal Planner', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-10/Adeline%20at%20Ashby%20BART%20Aerial%20View.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/redesigning-adeline-street-ashby-bart,
Replacement of Docks D & E at the Berkeley Marina,Design,Design,Other Infrastructure,Berkeley Marina – Docks D & E,This is aMeasure T1Phase 2 project. The project for the replacement of Docks D & E includes: The project is currently in 60% design including preparation of CEQA and regulatory permitting documents. The City anticipates completing the design and obtaining necessary regulatory and building permits by fall of 2023.,"['Measure T1', 'Department of Boating and Waterways Loan']",['Jesus Espinoza '],"[['Jesus Espinoza ', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-10/D%26E%20Docks%20Aerial%20Image.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/replacement-docks-d-e-berkeley-marina,
Replacing Traffic Barriers with Planter Boxes,Planning,Planning,Street,Various Locations,"This is a Measure T1 Phase 2 project. This project will replace existing traffic barriers, known as bollards, with landscaped planter boxes at locations throughout the City.
 Three sites have been identified for this project: Woolsey/Hillegass, Fulton/Ashby, and Harmon/California. The next step is to start final design.",['Measure T1'],['Terrence Salonga '],"[['Terrence Salonga ', 'Associate Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Bollards%20to%20Landscape%20pic.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/replacing-traffic-barriers-planter-boxes,
Restrooms (3) in the Public Right of Way,Design,Design,Other Infrastructure,"Telegraph Ave @ Channing Way
San Pablo/University Ave
Adeline/Alcatraz Ave","This is a Measure T1 Phase 2 project. In 2018, the City conducted a Citywide Restroom study. Upon completion of the study in 2020, the team developed a plan and based on those recommendations, three outdoor public restrooms will be installed at the above locations.The outdoor restroom at the Telegraph Channing Garage is in the bidding phase and will come back to Council to approve any resulting contract. The restrooms at University/San Pablo and Alcatraz/Adeline have been located and are being surveyed. Both projects are now in the 30% design phase. The next deliverable will be a 60% design set of drawings, specification list, and cost estimate.","['Measure T1', 'UC Berkeley Settlement']","['Elmar Kapfer ', 'Uriel Gonzalez']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Uriel Gonzalez', 'Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-Restrooms-in-the-ROW.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/restrooms-3-public-right-way,
Rose Garden Renovations,Completed,Completed,Park,"Berkeley Rose Garden, located at 1200 Euclid Avenue.","This is aMeasure T1 Phase 1 project. With 1,500 rose bushes, 250 varieties of roses, and views of the San Francisco Bay and the Golden Gate Bridge, the Berkeley Rose Garden is a popular attraction for both residents and tourists. The renovation projects were phased, starting in 2016 and concluded in August 2021. Improvements included: the demolition and reconstruction of the historic redwood pergola and trellis; accessibility improvements to provide an accessible path of travel from Euclid Avenue, to the public restrooms, playgrounds, the basketball court, tennis court, and to the center of the pergola; demolition and reconstruction of historic site retaining walls; and a completely new irrigation system. Renovations also included restroom renovation, tennis court repairs and resurfacing, new fencing, and various other site improvements.","['Measure T1', 'Measure F', 'Measure WW', 'Capital Improvement Fund']",['Evelyn Chan'],"[['Evelyn Chan', 'Project Manager', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-03/Rose-garden-tennis.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/rose-garden-renovations,
Sacramento Complete Streets Project,Completed,Completed,Transportation,"The purpose of the Sacramento Complete Streets Improvements Project is to improve pedestrian and bicyclist safety at the following intersections of Sacramento Street: Virginia Street, Delaware Street, University Avenue, and Addison Street. Construction of the Project began in July 2020 and is anticipated to be completed in December 2021.","This Project addresses two City Council referrals for intersection safety improvements that are high-priority projects in the Pedestrian Master Plan – Sacramento Street at Addison Street (High Priority Project #4) and Sacramento Street at Virginia Street (High Priority Project #24). The improvements at Virginia Street and Delaware Street also address Tier 1 priority projects from the Bicycle Plan. In general, the work of this Project includes construction of new sidewalk extensions with directional curb ramps that meet the standards of the Americans with Disabilities Act (ADA); new pavement markings, including crosswalk, vehicular lane, and bike lane markings; a new traffic signal at the Virginia Street intersection; and dedicated left turn traffic signal phases at the University Avenue intersection to eliminate conflicts between pedestrians and left turning vehicles. For bicyclists that are comfortable sharing the roadway with a low volume of motor vehicles, the proposed new traffic signal at the Virginia Street intersection will improve safety for bicyclists along the Virginia Street bicycle boulevard and will encourage more bicycle riders to use this route. There will also be safety-related improvements for bicyclists that prefer to ride on a separated pathway, away from motor vehicles. City staff have been working closely with Bay Area Rapid Transit (BART) on the latter’s proposed bicycle and motor vehicle ingress and egress modifications at the North Berkeley BART station. BART’s project will provide a needed link between two segments of the Ohlone Greenway pathway that are separated by this BART station, via dedicated bike lanes that will route bicyclists through the BART station grounds. BART’s construction project is expected to begin several months after the start of construction on the Sacramento Complete Streets Improvements Project. City staff hosted community meetings on January 28 and April 16, 2019 to solicit public input on the Project. The Project design was subsequently refined, and on May 15, 2019, staff presented the Project to a subcommittee of the Transportation Commission for comment. The Project design was refined based on comments received, and on June 20, 2019, staff presented the Project to the Transportation Commission. The Commission was supportive of the Project, and provided additional comments, which staff used to finalize the design documents.","['Measure B & BB', 'Active Transportation Program']",['Kenneth Jung'],"[['Kenneth Jung', 'Associate Civil Engineer']]",https://berkeleyca.gov//sites/default/files/2022-03/SactoMap.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/sacramento-complete-streets-project,
San Pablo Park Playground and Tennis Court Renovation ,Completed,Completed,Park,"2800 Park Street, Berkeley, CA 94702","San Pablo Parkoffers a wide range of recreational activities for all ages. The park features picnic areas, baseball/softball fields, basketball courts, tennis courts, and play areas for ages 2-5 and ages 5-12. This project included replacement of the play structures, resurfacing of the tennis courts, new fencing, new bleachers, new shade structures, new drinking fountains as well as accessibility improvements. This project was completed in April 2021.","['Measure F', 'Measure T1']","['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_SPP-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/san-pablo-park-playground-and-tennis-court-renovation,
"Sanitary Sewer Rehabilitation: El Camino Real, Alvarado Rd. and others",Completed,Completed,Sewer,"Tremont, Eton, Alcatraz, Mystic/Brookside backline, Hazel, Domingo, El Camino, Vicente, Alvarado, Tunnel, Roble and Chabot backline","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction is expected to take approximatelyfour months to complete depending on weather or unforeseen conditions. Construction inthe immediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs willbe posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking for streetcleaning, will still be in effect. Access to private driveways may be prohibited during someoperations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Cratus, Inc.', 'Adrian Merry', 'Kevin Emigh']","[['Cratus, Inc.', 'Contractor', '(800) 850-1874'], ['Adrian Merry', 'Engineering Inspector', 'Public Works'], ['Kevin Emigh', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/PublicNoticePostcard%20-%20Alvarado-2_0.png,https://berkeleyca.gov/your-government/our-work/capital-projects/sanitary-sewer-rehabilitation-el-camino-real-alvarado-rd,
"Sanitary Sewer Rehabilitation: Grizzly Peak backline, Euclid backline and others",Completed,Completed,Sewer,"Grizzly Peak Boulevard backline, Euclid Avenue backline, Cragmont Avenue backline, Euclid Avenue, Wildcat Canyon Road, Woodhaven Road, Keeler Avenue, Spruce Street, and Eunice Street.","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Timeline Construction will take approximately four months to complete depending on weather or unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic control may cause delays by the work site, and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. No significant interruptions in sewer, water, electric, gas, or phone service are anticipated, though minimizing your water usage during this time is recommended. Property owner and resident actions During the project, the City will replace the sanitary sewer mains and lower laterals. Property owners are encouraged to obtain a quote from the Contractor or any other contractors of their choice to replace their private lateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Glosage Engineering', 'Adadu Yemane']","[['Glosage Engineering', 'Contractor', '(510) 815-4505'], ['Adadu Yemane', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Sanitary-Sewer-Project-22-11484-C-Location-Map.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/sanitary-sewer-rehabilitation-grizzly-peak-backline,
Sanitary Sewer Rehabilitation: Hearst and others,Construction,Construction,Sewer,"Hearst Avenue, Scenic Avenue, Euclid Avenue, Le Conte Avenue, Arch Street, CedarStreet, La Loma Avenue, Le Roy Avenue, Piedmont Avenue, Hillside Avenue, Bancroft Way, Durant Avenue,Kelsey Street, Palm Court, Russell Street and Backline, Claremont Avenue, Avalon Backline, Garber Street Backline,Belrose Avenue Backline, University Avenue, Alvarado Road, and Vincente Road.","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction will take approximately four months to complete depending on weather or unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. No significant interruptions in sewer, water, electric, gas, or phone service are anticipated, though minimizing your water usage during this time is recommended. During the project, the City will replace the sanitary sewer mains and lower laterals. Property owners are encouraged to obtain a quote from the Contractor or any other contractors of their choice to replace their private lateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Bay Pacific Pipeline, Inc.', 'Adrian Merry', 'Ricardo Salcedo']","[['Bay Pacific Pipeline, Inc.', 'Contractor', '(415) 250-1865'], ['Adrian Merry', 'Engineering Inspector', 'Public Works'], ['Ricardo Salcedo', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-03/Sanitary%20Sewer%20-%20Hearst%20et%20al%20Public%20Notification%20Map%201.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/sanitary-sewer-rehabilitation-hearst-and-others,
Sanitary Sewer Rehabilitation: Parnassus and others,Construction,Construction,Sewer,"Various locations throughout the City of Berkeley including Parnassus Road, East Parnassus Court, West Parnassus Court, Del Mar Avenue, Summit Road, La Loma Avenue, Tamalpais Road and others.","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction is expected to take approximatelyfour months to complete depending on weather or unforeseen conditions. Construction inthe immediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs willbe posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking for streetcleaning, will still be in effect. Access to private driveways may be prohibited during someoperations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Andes Construction, Inc.', 'Harold Suan', 'Stephanie Angcla']","[['Andes Construction, Inc.', 'Contractor', '(510) 536-7832'], ['Harold Suan', 'Engineering Inspector', 'Public Works'], ['Stephanie Angcla', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-03/Sanitary%20Sewer%20-%20Parnassus%20et%20al%20Public%20Notice%20Map%201.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/sanitary-sewer-rehabilitation-parnassus-and-others,"[37.88267345751419, -122.25402253846462]"
Sanitary Sewer Rehabilitation: Shattuck Avenue,Construction,Completed,Sewer,Shattuck Avenue from Derby Street to Allston Way and Shattuck Avenue from University Avenue to Vine Street.,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewersystem at several locations throughout the City. Construction is expected to begin in mid-April and will take approximately sixmonths to complete depending on weather or unforeseen conditions. Construction in theimmediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but should not exceed 12 hours at a time. ""No Parking"" signswill be posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking forstreet cleaning, will still be in effect. Access to private driveways may be prohibited duringsome operations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Cratus, Inc.', 'Adrian Merry', 'Kevin Emigh']","[['Cratus, Inc.', 'Contractor', '(800) 850-1874'], ['Adrian Merry', 'Engineering Inspector', 'Public Works'], ['Kevin Emigh', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Shattuck-Ave-Sewer-Project%2022-11481-C-Location-Map.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/sanitary-sewer-rehabilitation-shattuck-avenue,"[37.8708983078894, -122.26824820627265]"
