Name,Status,Type,Location,Description,Funding Source,Project Team,Project Team Info,Center
Restrooms (3) in the Public Right of Way,Planning,Other Infrastructure,"Telegraph Ave @ Channing Way
San Pablo/University Ave
Adeline/Alcatraz Ave","This is a Measure T1 Phase 2 project. In 2018, the City conducted a Citywide Restroom study. Upon completion of the study in 2020, the team developed a plan and based on those recommendations, three outdoor public restrooms will be installed at the above locations.The outdoor restroom at the Telegraph Channing Garage is in the bidding phase and will come back to Council to approve any resulting contract. The restrooms at University/San Pablo and Alcatraz/Adeline have been located and are being surveyed. Both projects are now in the 30% design phase. The next deliverable will be a 60% design set of drawings, specification list, and cost estimate.","['Measure T1', 'UC Berkeley Settlement']","['Elmar Kapfer ', 'Uriel Gonzalez']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Uriel Gonzalez', 'Civil Engineer ', 'Public Works']]",[]
Rose Garden Renovations,Design,Park,"Berkeley Rose Garden, located at 1200 Euclid Avenue.","This is aMeasure T1 Phase 1 project. With 1,500 rose bushes, 250 varieties of roses, and views of the San Francisco Bay and the Golden Gate Bridge, the Berkeley Rose Garden is a popular attraction for both residents and tourists. The renovation projects were phased, starting in 2016 and concluded in August 2021. Improvements included: the demolition and reconstruction of the historic redwood pergola and trellis; accessibility improvements to provide an accessible path of travel from Euclid Avenue, to the public restrooms, playgrounds, the basketball court, tennis court, and to the center of the pergola; demolition and reconstruction of historic site retaining walls; and a completely new irrigation system. Renovations also included restroom renovation, tennis court repairs and resurfacing, new fencing, and various other site improvements.","['Measure T1', 'Measure F', 'Measure WW', 'Capital Improvement Fund']",['Evelyn Chan'],"[['Evelyn Chan', 'Project Manager', 'Parks, Recreation & Waterfront']]",[]
Sacramento Complete Streets Project,Completed,Transportation,"The purpose of the Sacramento Complete Streets Improvements Project is to improve pedestrian and bicyclist safety at the following intersections of Sacramento Street: Virginia Street, Delaware Street, University Avenue, and Addison Street. Construction of the Project began in July 2020 and is anticipated to be completed in December 2021.","This Project addresses two City Council referrals for intersection safety improvements that are high-priority projects in the Pedestrian Master Plan – Sacramento Street at Addison Street (High Priority Project #4) and Sacramento Street at Virginia Street (High Priority Project #24). The improvements at Virginia Street and Delaware Street also address Tier 1 priority projects from the Bicycle Plan. In general, the work of this Project includes construction of new sidewalk extensions with directional curb ramps that meet the standards of the Americans with Disabilities Act (ADA); new pavement markings, including crosswalk, vehicular lane, and bike lane markings; a new traffic signal at the Virginia Street intersection; and dedicated left turn traffic signal phases at the University Avenue intersection to eliminate conflicts between pedestrians and left turning vehicles. For bicyclists that are comfortable sharing the roadway with a low volume of motor vehicles, the proposed new traffic signal at the Virginia Street intersection will improve safety for bicyclists along the Virginia Street bicycle boulevard and will encourage more bicycle riders to use this route. There will also be safety-related improvements for bicyclists that prefer to ride on a separated pathway, away from motor vehicles. City staff have been working closely with Bay Area Rapid Transit (BART) on the latter’s proposed bicycle and motor vehicle ingress and egress modifications at the North Berkeley BART station. BART’s project will provide a needed link between two segments of the Ohlone Greenway pathway that are separated by this BART station, via dedicated bike lanes that will route bicyclists through the BART station grounds. BART’s construction project is expected to begin several months after the start of construction on the Sacramento Complete Streets Improvements Project. City staff hosted community meetings on January 28 and April 16, 2019 to solicit public input on the Project. The Project design was subsequently refined, and on May 15, 2019, staff presented the Project to a subcommittee of the Transportation Commission for comment. The Project design was refined based on comments received, and on June 20, 2019, staff presented the Project to the Transportation Commission. The Commission was supportive of the Project, and provided additional comments, which staff used to finalize the design documents.","['Measure B & BB', 'Active Transportation Program']",['Kenneth Jung'],"[['Kenneth Jung', 'Associate Civil Engineer']]",[]
San Pablo Park Playground and Tennis Court Renovation ,Completed,Park,"2800 Park Street, Berkeley, CA 94702","San Pablo Parkoffers a wide range of recreational activities for all ages. The park features picnic areas, baseball/softball fields, basketball courts, tennis courts, and play areas for ages 2-5 and ages 5-12. This project included replacement of the play structures, resurfacing of the tennis courts, new fencing, new bleachers, new shade structures, new drinking fountains as well as accessibility improvements. This project was completed in April 2021.","['Measure F', 'Measure T1']","['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
"Sanitary Sewer Rehabilitation: El Camino Real, Alvarado Rd. and others",Completed,Sewer,"Tremont, Eton, Alcatraz, Mystic/Brookside backline, Hazel, Domingo, El Camino, Vicente, Alvarado, Tunnel, Roble and Chabot backline","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction is expected to take approximatelyfour months to complete depending on weather or unforeseen conditions. Construction inthe immediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs willbe posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking for streetcleaning, will still be in effect. Access to private driveways may be prohibited during someoperations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Cratus, Inc.', 'Adrian Merry', 'Kevin Emigh']","[['Cratus, Inc.', 'Contractor', '(800) 850-1874'], ['Adrian Merry', 'Engineering Inspector', 'Public Works'], ['Kevin Emigh', 'Project Manager', 'Public Works']]",[]
"Sanitary Sewer Rehabilitation: Grizzly Peak backline, Euclid backline and others",Completed,Sewer,"Grizzly Peak Boulevard backline, Euclid Avenue backline, Cragmont Avenue backline, Euclid Avenue, Wildcat Canyon Road, Woodhaven Road, Keeler Avenue, Spruce Street, and Eunice Street.","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Timeline Construction will take approximately four months to complete depending on weather or unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic control may cause delays by the work site, and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. No significant interruptions in sewer, water, electric, gas, or phone service are anticipated, though minimizing your water usage during this time is recommended. Property owner and resident actions During the project, the City will replace the sanitary sewer mains and lower laterals. Property owners are encouraged to obtain a quote from the Contractor or any other contractors of their choice to replace their private lateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Glosage Engineering', 'Adadu Yemane']","[['Glosage Engineering', 'Contractor', '(510) 815-4505'], ['Adadu Yemane', 'Project Manager', 'Public Works']]",[]
Sanitary Sewer Rehabilitation: Hearst and others,Completed,Sewer,"Hearst Avenue, Scenic Avenue, Euclid Avenue, Le Conte Avenue, Arch Street, CedarStreet, La Loma Avenue, Le Roy Avenue, Piedmont Avenue, Hillside Avenue, Bancroft Way, Durant Avenue,Kelsey Street, Palm Court, Russell Street and Backline, Claremont Avenue, Avalon Backline, Garber Street Backline,Belrose Avenue Backline, University Avenue, Alvarado Road, and Vincente Road.","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction will take approximately four months to complete depending on weather or unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. No significant interruptions in sewer, water, electric, gas, or phone service are anticipated, though minimizing your water usage during this time is recommended. During the project, the City will replace the sanitary sewer mains and lower laterals. Property owners are encouraged to obtain a quote from the Contractor or any other contractors of their choice to replace their private lateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Bay Pacific Pipeline, Inc.', 'Adrian Merry', 'Ricardo Salcedo']","[['Bay Pacific Pipeline, Inc.', 'Contractor', '(415) 250-1865'], ['Adrian Merry', 'Engineering Inspector', 'Public Works'], ['Ricardo Salcedo', 'Project Manager', 'Public Works']]",[]
Sanitary Sewer Rehabilitation: Parnassus and others,Construction,Sewer,"Various locations throughout the City of Berkeley including Parnassus Road, East Parnassus Court, West Parnassus Court, Del Mar Avenue, Summit Road, La Loma Avenue, Tamalpais Road and others.","The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction is expected to take approximatelyfour months to complete depending on weather or unforeseen conditions. Construction inthe immediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs willbe posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking for streetcleaning, will still be in effect. Access to private driveways may be prohibited during someoperations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Andes Construction, Inc.', 'Harold Suan', 'Stephanie Angcla']","[['Andes Construction, Inc.', 'Contractor', '(510) 536-7832'], ['Harold Suan', 'Engineering Inspector', 'Public Works'], ['Stephanie Angcla', 'Project Manager', 'Public Works']]","[37.88267345751419, -122.25402253846462]"
Sanitary Sewer Rehabilitation: Shattuck Avenue,Construction,Sewer,Shattuck Avenue from Derby Street to Allston Way and Shattuck Avenue from University Avenue to Vine Street.,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewersystem at several locations throughout the City. Construction is expected to begin in mid-April and will take approximately sixmonths to complete depending on weather or unforeseen conditions. Construction in theimmediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but should not exceed 12 hours at a time. ""No Parking"" signswill be posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking forstreet cleaning, will still be in effect. Access to private driveways may be prohibited duringsome operations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",['Sanitary Sewer Fund'],"['Cratus, Inc.', 'Adrian Merry', 'Kevin Emigh']","[['Cratus, Inc.', 'Contractor', '(800) 850-1874'], ['Adrian Merry', 'Engineering Inspector', 'Public Works'], ['Kevin Emigh', 'Project Manager', 'Public Works']]","[37.8708983078894, -122.26824820627265]"
Sanitary Sewer Rehabilitation: Urgent Sewer Project FY 2023,Completed,Park,Various locations throughout the City of Berkeley.,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewersystem at several locations throughout the City. Timeline Construction is expected to begin in mid-March and will take approximately four months to complete depending on weather or unforeseen conditions. Construction in theimmediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic control may cause delays by the work site, and streetclosures may be necessary but should not exceed 12 hours at a time. ""No Parking"" signswill be posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking forstreet cleaning, will still be in effect. Access to private driveways may be prohibited duringsome operations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. Property Owner and Resident Actions During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion. ",['Sanitary Sewer Fund'],"['Koios Engineering Inc.', 'Curtis Brian', 'Adadu Yemane']","[['Koios Engineering Inc.', 'Contractor', '(415) 654-7298'], ['Curtis Brian', 'Engineering Inspector', 'Public Works'], ['Adadu Yemane', 'Project Manager', 'Public Works']]",[]
Santa Fe Trackbed to Park Conversion,Design,Park,"This project plans to develop a new park on parcels of land formerly owned by the Santa Fe Railroad in South Berkeley. The parcels are located between Blake Street and Ward Street, crossing Acton Street.","The City of Berkeley plans to develop the former Santa Fe Right-of-Way parcels from Blake to Ward Street into a new park. The City will perform any required soil remediation and construct: Two new community gardens An outdoor classroom and orchard A playground for children ages 2-5-year-old with a tot cycle track Dog park Gathering spaces Pathways, landscaping, and lighting throughout the park The project is currently in the design phase. To be included in future correspondence and notifications of project meetings or status, please contact the project team with subject “Please add me to Santa Fe ROW New Park Development email list” and provide your preferred contact information. The Santa Fe Right-of-Way Park will be developed with grant funding from theCalifornia Statewide Park Development and Community Revitalization Program (SPP), funded by Proposition 68. Part of the State’s “Outdoors for All” initiative to enable all Californians to access parks and open space, the competitive CA SPP grant expands access to parks in underserved communities with new or enhanced parks. The City will remediate any soil contamination left by the site’s historic railroad use and ensure the site is safe for its future use as a new park. Initial soil sampling results show elevated levels of arsenic and lead in these four parcels. The City has posted all four blocks to warn residents to keep off. Read the results or go to the ""Documents"" section of this page. Updates to environmental work will be posted as they become available. In 1904, the Santa Fe Railroad established the “Oak­land Local,” which ran from Point Richmond to Oakland, and ran diagonally through Berkeley. The Oakland Local served passengers and freight until the 1950s, when the automobile doomed rail passen­ger service. While passenger service officially ended in the late 1950s, freight trains continued to run on the line while the City of Berkeley began to look at alternative ways to purchase and/or use the corridor. Since 1977, Berkeley worked to acquire and develop portions of the Santa Fe Railroad ROW into public amenities, including Cedar-Rose Park, Strawberry Creek park, and the West Street Pathway and Bike Boulevard. In 2020, the City identified CA SPP (Prop. 68) as a potential funding source to develop the vacant parcels in southwest Berkeley, and organized several community meetings to gather input and develop a conceptual plan for the grant application. The successful, community-driven conceptual plan was awarded state grant funds to bring “Outdoors for All” and expand access to parks in our Berkeley community. The conceptual plan submitted with the grant application and approved for funding is attached at the bottom of this webpage. Learn more about the CA SPP (Prop. 68) grant.  ",['Prop 68 CA Statewide Park Program'],"['Evelyn Chan', 'Stacey Rutherford ']","[['Evelyn Chan', 'Supervising Civil Engineer ', 'Parks, Recreation & Waterfront'], ['Stacey Rutherford ', 'Assistant Civil Engineer ', 'Parks, Recreation & Waterfront']]","[37.859292714801995, -122.28271259595711]"
Selective Replacement of Timber Piles at the Berkeley Marina,Design,Other Infrastructure,Inner Harbor of the Berkeley Marina,"This is aMeasure T1Phase 2 project. This project will repair, and/or replace the timber piles at the inner harbor of the Marina that are either deteriorated or missing with new concrete piles. The existing timber piles were installed in the 1960s and 1970s to support docks and above-water buildings. The project was advertised for construction bidding in January, 2023. The City anticipates completing the design and obtaining necessary regulatory and building permits by winter of 2022/23.","['Marina Fund', 'Measure T1']",['Nelson Lam'],"[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Shattuck Reconfiguration and Pedestrian Safety Project,Design,Transportation,The Shattuck Reconfiguration and Pedestrian Safety Project will repair and reconfigure Shattuck Avenue from Allston Way three blocks north through the Shattuck/University Avenue intersection.,"The Shattuck Reconfiguration and Pedestrian Safety Project will repair and reconfigure Shattuck Avenue from Allston Way three blocks north through the Shattuck/University Avenue intersection. The project will convert the west (southbound) leg of Shattuck into a four-lane, two-way street, eliminating the current circuitous movement for northbound traffic at the Shattuck/University intersection, while the east (northbound) leg of Shattuck will be narrowed to two lanes with angled parking to offset the loss of parking on the west leg of Shattuck. A concrete raised intersection will be built at the Shattuck (east leg)/Center Street intersection, which is intended to create a slow-speed vehicular crossing that is safer for pedestrians and would have the effect of making the east leg of Shattuck a calmer street. As a result, the west leg of Shattuck would become the preferred route for vehicular traffic passing through the downtown area, and the Shattuck/University intersection should become safer for pedestrians.",['Measure M'],"['shattuckreconfig@cityofberkeley.info', '']","[['shattuckreconfig@cityofberkeley.info'], ['']]",[]
Sidewalk Repair Project ,Completed,Sidewalk,Various Sidewalks throughout the City,This is a Measure T1 Phase 2 Project. The City shares the cost of sidewalk repair with residents through the 50-50 Program. There is a considerable backlog of resident applications for this program. The T1 funding for this project will make significant progress towards completing this work. Construction of the FY2022 Sidewalk Rehabilitation project is underway and is scheduled for completion in the summer of 2023. This project includes about 675 locations.,"['Measure T1', 'Measure B & BB', 'Capital Improvement Fund']",['Terrence Salonga '],"[['Terrence Salonga ', 'Associate Civil Engineer ', 'Public Works']]",[]
Solar Battery Project ,Construction,Facility,1901 Hearst Ave,This is a Measure T1 Phase 2 project. The Solar Battery project consists of installing a battery to store the electric energy produced by the solar panels. The North Berkeley Senior Center will be the first facility to host such a project and will serve as a pilot for future projects. This project will begin February 2023.,['Measure T1'],"['Elmar Kapfer ', 'Uriel Gonzalez']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Uriel Gonzalez', 'Civil Engineer ', 'Public Works']]","[37.87381353353288, -122.27287903351117]"
South Berkeley Senior Center Renovation,Planning,Facility,2939 Ellis St,"This is a Measure T1 Phase 2 project. The Henry Ramsey Jr. South Berkeley Senior Center offers a variety of enrichment activities and support services designed to empower seniors in our community to learn, grow, and discover new ways to be actively engaged in living. The renovation project will include disaster preparedness, electrification, energy efficient building systems, and other enhancements to the community building. FEMA has approved the funding for a seismic upgrade.","['Measure T1', 'Federal Emergency Management Agency Grant']","['Elmar Kapfer ', 'Nick Cartegna']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Nick Cartegna', 'Associate Civil Engineer ', 'Public Works']]",[]
Storm Drain Improvements,Design,Storm,"Marin, Virginia, and Spruce Street","This is a Measure T1 Phase 2 project. This project replaces deteriorated storm drain systems at the following locations: Marin, Euclid, Spruce, High Court, Grizzly Peak, Shasta, John Hinkel Park, Virginia, and San Benito. Construction has been completed.","['Measure T1', 'Clean Storm Fund 616']","['Joe Enke', 'Srinivas Muktevi']","[['Joe Enke', 'Acting City Engineer ', 'Public Works'], ['Srinivas Muktevi', 'Supervising Civil Engineer ', 'Public Works']]",[]
Strawberry Creek Park Playground Renovation and Restroom Replacement,Completed,Park,"1260 West Street, Berkeley, CA 94702","Situated in a residential area and close to multiple neighborhood schools, Strawberry Creek Park is heavily frequented by users of all ages and contains basketball, soccer, tennis and volley ball courts, a school-aged play area, a picnic area with BBQ, a restroom, an open lawn, and a natural creek. This project is considered Phase 2 of renovations, which included replacement of the restroom, renovation of the playground, and other site improvements. This project was completed in November 2020, and followed Phase 1 of renovations, which included resurfacing of the volleyball, tennis, and soccer courts, new fencing, and accessibility improvements completed in March 2019.","['Measure F', 'Measure T1']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Street Rehabilitation FY 2015,Completed,Street,"The Berkeley streets serviced were located at: Alcatraz, Channing, College, Durant, Dwight, Fulton, Hearst and Sacramento.","This project will resurface approximately 3.4 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, and striping.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Street Rehabilitation FY 2016,Completed,Street,"The Berkeley streets serviced were located at: 9th, Belrose, Campus, Claremont Boulevard, Codornices, Derby, East Parnassus Court, Hawthorne Terrace, Heinz, Hilgard, Parker, Parnassus, Piedmont, Piedmont Crescent, Rose, Spruce, Virginia, Warring and West Parnassus Court.","This project will resurface approximately 3 miles of City streets, and consists of pavement rehabilitation and reconstruction. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters and striping.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Street Rehabilitation FY 2017,Completed,Street,"The Berkeley streets serviced were located at: Bancroft, Contra Costa, Solano, The Alameda and Tulare.","This project will resurface approximately 1.8 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, and striping.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Street Rehabilitation FY 2020,Completed,Street,"The Berkeley streets serviced were located at: Acton, Arcade, Cedar, Center, Deakin, Dohr, Michigan, Roosevelt, Rose, Santa Fe, Shasta and West.","This project will resurface approximately 2.6 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.Among the Complete Streets improvements included are Bicycle Plan andPedestrian Master Plan recommendations to build a concrete island bicycle crossing at the 9th Street Bicycle Boulevard and Cedar Street intersection; install painted buffered and parking-protected bicycle lanes on Center Street; install painted bulbouts and sharrows on Santa Fe Avenue; and paint high visibility crosswalks at multiple locations.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund', 'Clean Storm Fund 616']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Street Rehabilitation FY 2021,Completed,Street,"The Berkeley streets serviced were located at: Ada, Bancroft, Channing, Curtis, Emerson, Essex, Holly, Spruce and Second.","This project will resurface approximately 1.9 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.Among the Complete Streets improvements included are Bicycle Plan and
Pedestrian Master Plan recommendations to install buffered bicycle lanes on Channing
Way, reconfigure the bicycle median islands at the Channing Way and Martin Luther King
Jr. Way intersection, and paint high visibility crosswalks at multiple locations.","['State Transportation Tax', 'Measure B & BB', 'Vehicle Registration Fee (VRF)', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Street Rehabilitation FY 2022,Completed,Street,"Browning Street from Addison to Dwight
Colusa Avenue from North City Limit to Solano
Delaware Street from Acton to Sacramento
Ellsworth Street from Stuart to Ashby
Fulton Street from Dwight to Stuart
Heinz Avenue from 7th to San Pablo
9th Street from Heinz to End near Berkeley Bowl
Stuart Street from Fulton to Ellsworth
Stuart Street from Benvenue to College
Sunset Lane from Grizzly Peak to Wildcat Canyon
Allston Way from Martin Luther King Jr. to Milvia - paver maintenance","The City of Berkeley Public Works Department will be rehabilitating the street pavement at several locations throughout the City. Timeline Construction is expected to begin in July/August 2022 and will take approximately three months to complete depending on weather and unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic will be delayed at the work site and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. Property owner and resident actions","['Measure B & BB', 'Vehicle Registration Fee (VRF)', 'Capital Improvement Fund', 'State Transportation Tax', 'Senate Bill 1']","['Bay Cities Paving & Grading, Inc.', 'Randy Kong']","[['Bay Cities Paving & Grading, Inc.', 'Contractor', '(925) 687-6666'], ['Randy Kong', 'Project Manager', 'Public Works']]",[]
Street Rehabilitation FY 2023/ FY 2024,Construction,Street,"Channing Way from Sacramento Street to McKinley Avenue
Dana Street from Dwight Way to Ward Street
Durant Avenue from Milvia Street to Shattuck Avenue
Durant Avenue from Shattuck Avenue to Fulton Street
Hopkins Street from San Pablo Avenue to Sutter Street
Derby Street from Telegraph Avenue to College Avenue
Creston Road from Sunset Lane to Grizzly Peak Boulevard
Dwight Way from Piedmont Avenue to End
Grizzly Peak Boulevard from Spruce Street to Marin Avenue
Hillegass Avenue from Dwight Way to South City Limit
Latham Lane from Miller Avenue to Grizzly Peak Boulevard
McGee Avenue from Dwight Way to Russell Street
Miller Avenue from Hilldale Avenue to Shasta Road
Otis Street from Russell Street to Ashby Avenue
Rose Street from Sacramento Street to Martin Luther King Jr. Way
Woolsey Street from Hillegass Avenue to College Avenue","This is a Measure T1 Phase 2 project. Rehabilitation of street pavement at various locations throughout the city. Includes curb ramps, curb and gutter, sidewalk, drainage improvements (e.g. pipes, valley gutters, inlets) traffic striping/markings including bicycle/pedestrian improvements.  This project is currently in the design phase. Final design, subject to Council approval of conceptual plans of Hopkins St west of Gilman St and review of parking study for the area between McGee and Gilman, is scheduled for early 2023. Based on the current scope and cost estimate, additional funding of approximately $3 million is required for the project. The current schedule has the project bidding in the spring of 2023, council award of contract in the summer of 2023, and start of construction in the Fall of 2023. ","['Measure T1', 'Capital Improvement Fund', 'Vehicle Registration Fee (VRF)', 'Measure B & BB', 'State Transportation Tax', 'Senate Bill 1']",['Srinivas Muktevi'],"[['Srinivas Muktevi', 'Supervising Civil Engineer ', 'Public Works']]","[[37.86502760277368, -122.28134017859865],
[37.86257787665705, -122.26029393535914],
[37.866549942290064, -122.26885963249927],
[37.86682760045746, -122.26672282347307],
[37.88195910679297, -122.28154147906972]
]"
Telegraph Avenue Multimodal Corridor Project,Design,Transportation,Telegraph Avenue from Dwight Way to Woolsey Street,"The Telegraph Avenue Multimodal Corridor Project will develop concept plans for transportation safety improvements on Telegraph Avenue from Dwight Way to Woolsey Street. The project will include pedestrian safety improvements, upgrading the existing bike lanes, and transit improvements. This project implements the 2017 Bicycle Plan's recommendation for a ""Complete Street Corridor Study"" for Telegraph Avenue. Telegraph Avenue is also a major transit corridor in AC Transit's service network. This project aligns with the City's Transit-First Policy (Transportation Element Policy T-4). This project is funded by a grant from the Alameda County Transportation Commission. Funding for the next phases of detailed design and construction have not yet been secured.",['Alameda County Transportation Commission'],['Beth Thomas'],"[['Beth Thomas', 'Principal Planner', 'Public Works']]",[]
Telegraph-Channing Garage Restroom Renovation,Planning,Facility,2450 Durant Ave,"This is a Measure T1 Phase 2 project. The Telegraph-Channing Garage serves all members of the community and visitors with a place to park their vehicle while they shop, dine, or attend the university. The restrooms in the facility will be renovated with new plumbing fixtures, lighting, and architectural finishes to make them more welcoming to guests and ADA compliant.",['Measure T1'],"['Elmar Kapfer ', 'Titus Chen']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Titus Chen', 'Assistant Civil Engineer ', 'Public Works']]",[]
