Name,Location,StartDate,LastUpdate,Type,Type_Level,Description,Owner
bancroft way & bolivar dr,bancroft way & bolivar dr,06/23/2022,07/07/2022,Commercial,Commercial,"On this project at bancroft way & bolivar dr, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Aquatic Park Science Center II LLC
1870 San Ramon Ave,1870 San Ramon Ave,09/17/2021,11/04/2021,Residential,Residential,"On this project at 1870 San Ramon Ave, Berkeley, CA 94707 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
750 Potter St,750 Potter St,04/25/2018,12/15/2022,Commercial,Commercial,"On this project at 750 Potter St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1151 6th St,1151 6th St,10/28/2021,02/13/2023,Commercial,Commercial,"On this project at 1151 6th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2400 Ridge Rd,2400 Ridge Rd,10/11/2022,07/11/2023,Commercial,Commercial,"On this project at 2400 Ridge Rd, Berkeley, CA 94709 there have been 0 permits filed, 1 preliminary notice  exchanged, 14 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
760 Hearst Ave,760 Hearst Ave,10/12/2022,05/31/2023,Commercial,Commercial,"On this project at 760 Hearst Ave, Berkeley, CA 94710 there have been 0 permits filed, 6 preliminary notices  exchanged, 17 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Jamestown 
2440 Shattuck Ave,2440 Shattuck Ave,10/21/2022,07/06/2023,Commercial,Commercial,"On this project at 2440 Shattuck Ave, Berkeley, CA 94704 there have been 1 permit filed, 8 preliminary notices  exchanged, 10 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1440 4th St,1440 4th St,08/17/2022,11/13/2022,Commercial,Commercial,"On this project at 1440 4th St, Berkeley, CA 94710 there have been 2 permits filed, 0 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
Berkeley CA 94710-1358,Berkeley CA 94710-1358,06/17/2022,11/14/2022,Commercial,Commercial,"On this project at Berkeley CA 94710-1358, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Pacific Gas and Electric Company
1 cyclotron rd building 79,1 cyclotron rd building 79,12/28/2020,01/29/2023,State / County,State / County,"On this project at 1 cyclotron rd building 79, Berkeley, CA 94720 there have been 0 permits filed, 1 preliminary notice  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
614 Bancroft Way,614 Bancroft Way,05/19/2022,07/03/2023,Commercial,Commercial,"On this project at 614 Bancroft Way, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","600 Bancroft Owner, LP"
716 Allston Way,716 Allston Way,10/25/2022,04/19/2023,Commercial,Commercial,"On this project at 716 Allston Way, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
1801 SHATTUCK AVE,1801 SHATTUCK AVE,10/18/2022,05/19/2023,Commercial,Commercial,"On this project at 1801 SHATTUCK AVE, Berkeley, CA 94709 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2712 Prince St,2712 Prince St,10/06/2022,11/28/2022,Residential,Residential,"On this project at 2712 Prince St, Berkeley, CA 94705 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2020 4th St,2020 4th St,11/25/2020,03/02/2022,Commercial,Commercial,"On this project at 2020 4th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Essex Property Trust
2895 7th St,2895 7th St,11/21/2022,03/22/2023,Commercial,Commercial,"On this project at 2895 7th St, Berkeley, CA 94710 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Emery Station Joint Venture LLC
2870 Adeline St,2870 Adeline St,12/14/2021,07/10/2023,Commercial,Commercial,"On this project at 2870 Adeline St, Berkeley, CA 94703 there have been 0 permits filed, 4 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2506 Channing Way,2506 Channing Way,01/20/2022,05/26/2023,Commercial,Commercial,"On this project at 2506 Channing Way, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2195 Hearst Ave,2195 Hearst Ave,11/23/2020,03/10/2023,State / County,State / County,"On this project at 2195 Hearst Ave, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
770 page st,770 page st,05/25/2022,06/10/2022,Commercial,Commercial,"On this project at 770 page st, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2556 Haste St,2556 Haste St,06/23/2022,03/24/2023,State / County,State / County,"On this project at 2556 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2227 Piedmont Ave,2227 Piedmont Ave,05/09/2019,01/31/2023,State / County,State / County,"On this project at 2227 Piedmont Ave, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
hwy 80 & gilman interchange,hwy 80 & gilman interchange,10/07/2022,02/13/2023,Commercial,Commercial,"On this project at hwy 80 & gilman interchange, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Caltrans (California Dept. Of Transportation)
2109 University Ave,2109 University Ave,08/16/2022,04/21/2023,Commercial,Commercial,"On this project at 2109 University Ave, Berkeley, CA 94704 there have been 1 permit filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2350 5th St,2350 5th St,01/03/2023,03/17/2023,State / County,State / County,"On this project at 2350 5th St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Alameda (CA)
776 PAGE ST,776 PAGE ST,11/18/2022,01/09/2023,Commercial,Commercial,"On this project at 776 PAGE ST, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2200 4th St,2200 4th St,01/09/2023,03/10/2023,Commercial,Commercial,"On this project at 2200 4th St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
2025 Kala Bagai Way,2025 Kala Bagai Way,12/07/2022,01/27/2023,Commercial,Commercial,"On this project at 2025 Kala Bagai Way, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2065 Kittredge St,2065 Kittredge St,02/07/2023,07/03/2023,Commercial,Commercial,"On this project at 2065 Kittredge St, Berkeley, CA 94704 there have been 0 permits filed, 7 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","CA Industrial Coweta Property Owner, LLC"
2150 Shattuck Ave Ste 110,2150 Shattuck Ave Ste 110,02/21/2023,04/18/2023,Commercial,Commercial,"On this project at 2150 Shattuck Ave Ste 110, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1042 Ashby Ave,1042 Ashby Ave,02/14/2019,09/17/2019,Commercial,Commercial,"On this project at 1042 Ashby Ave, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2000 2nd St,2000 2nd St,02/16/2023,07/03/2023,Commercial,Commercial,"On this project at 2000 2nd St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",East Bay Municipal Utility District
910 Ensenada Ave,910 Ensenada Ave,08/24/2022,03/14/2023,Commercial,Commercial,"On this project at 910 Ensenada Ave, Berkeley, CA 94707 there have been 1 permit filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1740 San Pablo Avenue,1740 San Pablo Avenue,,,Affordable Housing,Residential,Transform unutilized space at 1740 San Pablo into 54 new affordable homes for Berkeley families. Groundbreaking is anticipated on 2023.,Berkeley
1947 Center Street Facility Improvements,1947 Center Street,,,Facility,State / County,"This is a Measure T1 Phase 2 project. The 1947 Center Street is a multi-purpose facility that provides services and information to those who live, work and visit the City of Berkeley. The building will undergo HVAC system improvements to ensure proper indoor air quality. This project is in the design phase. Most recently, a Testing, Adjusting, Balancing (TAB) study was completed to determine the requirements for the optimal performance of the HVAC system. The next step is an HVAC design based on the TAB report and a seismic assessment.",Berkeley
Addison Street Bicycle Boulevard Project,The Addison Bike Boulevard will specifically provide an east-west connection between Milvia Street and Sacramento Street to connect West Berkeley to Downtown Berkeley.,,,Transportation,State / County,"The Addison Bike Boulevard project is intended to address the community need, identified in the City of Berkeley Bicycle Plan (2017), for a bike route paralleling University Avenue. City Council approved the final project plans and specifications on January 26, 2021, and the construction contract was awarded to Sposeto Engineering, Inc. Construction will be performed as a component of the Central Berkeley Transportation & Infrastructure Improvements Project, which began in May 2021 and is scheduled to be substantially complete in early 2022. As a busy commercial corridor served by multiple bus lanes, University Avenue is intimidating for most people who ride their bike. The Addison Bike Boulevard will specifically provide an east-west connection between Milvia Street and Sacramento Street to connect West Berkeley to Downtown Berkeley. The project includes new bike boulevard pavement markings and signage for a Class 3 bikeway, in which motor vehicles will share the street with bicyclists, new crosswalk markings and pedestrian-scale lighting at selected intersections, and rectangular rapid flashing beacons (RRFBs) across Martin Luther King Jr. Way at the Addison Street intersection. Bicycle Boulevards are an important facility in a City’s street design toolkit, designed to bring low stress connectivity through residential neighborhoods. The focus of this project is to create a shared street environment that is comfortable for school children and less confident cyclists. A combination of signage, striping, and lighting treatments can increase awareness of people walking and bicycling. In addition to the striping and signing elements supporting a bicycle boulevard along Addison Street, rectangular rapid flashing beacons are planned to be installed at Addison and Martin Luther King, Jr. Way.",Berkeley
Adeline Street Improvements,"Adeline Street, from Ashby Avenue to Derby Street",,,Transportation,State / County,"This is aMeasure T1Phase 1 project. Adeline Street runs from South Berkeley to Shattuck Avenue and is a main arterial connection to Oakland. This project improved approximately 4,000 linear feet of pavement from Ashby Avenue to Derby Street and included protected bicycle lanes, bus boarding islands and high visibility crosswalks.",Berkeley
Adult Mental Health Services Center,2640 Martin Luther King Jr. Way,,,Facility,State / County,"This is a Measure T1 Phase 1 project. On January 23, 2018, City Council adopted Resolution No. 68,290-N.S. authorizing the allocation of $2 Million of Phase 1 Measure T1 funds for major renovations of the City of Berkeley’s Adult Mental Health Services Center located at 2640 Martin Luther King Jr. Way. The center provides mental health and related social services to Berkeley and Albany community members and their families. This project includes interior renovations and seismic upgrade.",Berkeley
African American Holistic Resource Center ,1890 Alcatraz Avenue,,,Facility,State / County,"This is a Measure T1 Phase 2 project. The African American Holistic Resource Center (AAHRC) will be a facility to house culturally relevant services to help eliminate inequities within Berkeley's African American Community.The vision for theAfrican American Holistic Resource Center is to hostservices to benefit the community with education, employment, health, mental health, and housing advocacy and supports. The funding for this project comes from the following sources: The original project planned to renovate the existing City building at 1890 Alcatraz. After the structural and soils assessment, the City proceeded to provide and additional $6.85M in funding to demolish the existing building and build a brand new 6000 square foot AAHRC. The design team includes the AAHRC Steering Committee, City Staff, AE3 Architects and the Cumming Group. The design process is currently underway. Please see below for public input opportunities. Additionally feedback can be provided by emailing City project manager Isaac Carnegie at icarnegie@berkeleyca.gov. Join us on Sunday, June 18th, from 11:00 am - 7:00 pm, block party near Alcatraz Avenue.
For more information, visit Berkeley Juneteenth Celebration",Berkeley
Aquatic Park Capital Improvement Projects,"Addison Street to Dreamland/Channing Way (Landscape and Streetscape)
West side of Aquatic Park (Tree Planting)
South west corner of Aquatic Park (Boating and rowing parking lot)",,,Other Infrastructure,State / County,"There are 3 capital improvement projects happening in Aquatic Park during 2023. They are described below. For questions or further information related to the east side Bolivar Drive improvements and the west side parking lot improvements, please email Nelson Lam at NeLam@berkeleyca.gov. For questions or further information related to the West Bolivar Tree Planting Project, please email Ian Kesterson ikesterson@berkeleyca.gov. The Aquatic Park Northeast Landscape and Streetscape Improvements Project infront of 600 Bolivar Dr. and 600 AddisonSt. has the following elements: This project is funded from a Community Benefits Agreement with Berkeley Commons, 600 Addison Development Project (approximately $5.5M), and Parks Tax ($250K). This project has started construction with anticipated completion in October of 2023 The West Bolivar Drive Tree Planting Project has the following elements: The 600 Addison project and this tree planting project, will plant a combined total of 340 trees, which will be native climate-ready and drought-resistant trees that will include species such as California Live Oak/Coast Live Oak, California Buckeye, California Redbud/Western Redbud, Catalina Ironwood, etc. These new trees will provide the following enhanced environmental and aesthetic benefits: This project is funded by an Environmental Enhancement and Mitigation ProgramGrant ($100K) and the Bayer Fund ($160K). This project will start in August/September and be finished by November of 2023 The Aquatic Park Paddling and Rowing Club Parking Lot Improvements Project has the following elements: This project is funded by Parks Tax ($428K) and the Bayer Fund ($158K). This project has started construction with anticipated completion in July of 2023",Berkeley
Aquatic Park Central Tide Tubes Repair Sediment Removal,2821 West Bolivar Drive,,,Other Infrastructure,State / County,"This is a Measure T1 Phase 2 project. This Phase 1B of the project consists of off-hauling the temporary sediment stockpile from the Phase 1A project to a disposal facility. Phase 1A was completed in the Fall of 2020, and consisted of sediment removal to restore the operating capacity of the tide tubes by cleaning out the accumulated sediment and conducting an inspection and assessment of the tide tubes and slide gate. This project was completed in November 2022.",Berkeley
BART Sites,Ashby and North Berkeley Bart Stations,,,Affordable Housing,Residential,"Planning is underway to re-imagine the Ashby and North Berkeley BART stations as vibrant places that include housing, open space and community amenities. Both sites are owned by the San Francisco Bay Area Rapid Transit District (BART). The City of Berkeley is working with BART to develop zoning and site planning parameters for the station areas that reflect a shared community vision. After the zoning is complete, BART, as the property owner, will choose the developer and oversee construction of any projects at their stations.",Berkeley
Bay Trail Extension Segment 3,"Bay Trail, from South Cove East Parking Lot to Adventure Playground",,,Sidewalk,State / County,"The Bay Trail Extension is a spur trail from the main north-south spine of the Bay Trail that takes visitors through the entire length of the southern side of the Berkeley Marina. It is designed as a shared-use trail approximately 1.2 miles in length, starting from the existing Bay Trail at West Frontage Road and ending at the Berkeley Yacht Club at the north end of Seawall Drive. The trail will be built in phases over time, as funding is obtained. The first portion of the trail was completed in 2014 (Segments One and Two, from West Frontage Road to the South Cove East Parking Lot). In 2016, the City received a grant of $500,000 in federal funds and $200,000 in local Marina Funds to complete the design and implement Segment Three, which will enhance approximately 600 feet of the existing trail just to the south of the two existing sailing clubs (Cal Sailing Club and Cal Adventures) at the sailboat and dock staging area. The main elements of the current trail enhancement project – the Bay Trail Extension Segment Three Project – are the following:",Berkeley
Berkeley Marina Roadway Improvements Project,University Avenue (between West Frontage Road and Marina Boulevard),,,Street,State / County,"This is a Measure T1 Phase 2 project. Initial preparations began in early August 2021 with utilities coordination along University Avenue, developing temporary traffic control plans and obtaining the Caltrans permit for establishing traffic control along W. Frontage Road intersection. On October 4, 2021 the Contractor began the first phase improvements on the eastbound lanes on University Avenue as well as the Spinnaker Way roundabout. Alleviate pavement undulation, improve traffic operation and efficiency at Marina Boulevard intersection while promote pedestrian and bicyclist access and safety, implement stormwater green infrastructure where applicable, and enhance entrance point to the Berkeley Marina. Alleviate pavement undulation, improve on‐street parking operation, enhance pavement drainage, implement stormwater green infrastructure where applicable, and provide pedestrian access to Cesar Chavez Park. Enhance longevity of pavement surface, and improve traffic operation.",Berkeley
Berkeley Pier with Ferry Access Project ,Berkeley Waterfront,,,Other Infrastructure,State / County,"This is aMeasure T1Phase 1 project. Working with the Water Emergency Transportation Authority (WETA) and the consultant team, the City has concluded this 2-year project, including a rigorous 1-year public process, and has chosen a preferred conceptual plan to reconstruct the currently closed Berkeley Pier and include ferry access. This concept plan includes: (1) evaluation of the structural integrity of the existing pier, (2) development of conceptual alternatives, (3) identification of environmental and regulatory permits and (4) cost estimates. The landside and waterside preferred concepts are described (with visuals) in the December 7, 2021 City Council Session linked below. The next step for this project is to identify $10M -$11M in funding for the Design Development phase, including the environmental review process. Once funding is identified, the City and WETA will execute a second agreement for environmental studies and design development. It is anticipated that this process will take 2-3 years. The Pier-Ferry Planning Study public process involved a community process in the form of four (4) Focus groups in early January, 2021 and three large Community Workshops on January 21, 2021, August 10, 2021, and October 27, 2021. The project was presented at the City Council Worksession on February 16, 2021, followed by a WETA Board of Directors meeting on March 4, 2021. The presentation slides and breakout group notes for these meetings can be found on this webpage below. An online questionnaire for the project was conducted to seek broader community feedback. Below is the questionnaire results report. The goal of these meetings was to receive extensive community feedback to develop a preferred concept for the project. The preferred concept was presented to City Council in December of 2021 and the WETA Board in April of 2022. The Berkeley Municipal Pier was closed in July, 2015 due to visually observed structural problems on the underside of the concrete decking and pilings. In 2017, the City retained a structural engineering firm (GHD) to assess the problem and develop a range of potential solutions and costs. In 2018, the Water Emergency Transportation Authority (WETA) staff-initiated discussions with City staff regarding the possibility of new ferry service at the Berkeley Waterfront. During those initial discussions, WETA and City staff realized that it could be cost-effective to investigate a single pier that would provide two uses – ferry service and public recreation. In 2019, WETA and the City Council authorized a Memorandum of Understanding Agreement (MOU) to jointly fund a planning study to evaluate the feasibility of a dual-purpose pier. For background details, see the Council Report approval of the MOU on March 12, 2019.",Berkeley
Berkeley Unified School District (BUSD) Workforce Housing Development ,1701 San Pablo Avenue,,,Affordable Housing,Residential,"The Berkeley Unified School District Board of Education unanimously approved the Berkeley Adult School (BAS) front parking lot, along San Pablo Avenue, as the site for the District’s Educator Workforce Housing at the February 17, 2021 School Board meeting. An optimistic timeline puts the completion date for BUSD workforce housing availability in 2025. This development could yield up to 110-120 housing units, depending on the design. Educator Workforce Housing will help the District to recruit and retain quality educators, both certificated and classified employees.",Berkeley
Berkeley Waterfront Bike Park Conceptual Design Project,"Between University Avenue and the San Francisco Bay Trail (north/south), and between Frontage Road and Marina Boulevard (east/west).",,,Park,State / County,"This project will collect community input to inform a conceptual design for a bike park near the entrance to the Berkeley Marina. The goal is for this bike park to be a model for inclusivity, healthy activity, and fun as a part of the overall waterfront experience. The conceptual design should serve for mountain bikers, BMX bikers, adaptive cyclists, youth, and young adults, and is envisioned to include progressive features, challenge elements, and alternate lines that encourage users to grow their skills safely. A community process has begun in order to engage the bike community to inform a conceptual design for the project. The initial round of public outreach took place in Spring 2022. It involved a focus group, community questionnaire, and workshop, along with public comments shared via email and phone. The initial round of feedback has been synthesized and was translated into two conceptual design alternatives shared with the community on September 29, 2022.The project team received specific feedback on each concept at the workshop. The conceptual design determined through this process can be used as a basis for future phases which include: funding, design, construction, programming, and ongoing management. Sign up to receive emails about opportunities to engage with the bike park design project: Stay Involved RRM Design Group – Landscape Design & Engineering Wormhoudt Inc. – Bike Park Design",Berkeley
Berkeley Way Apartments and Hope Center,2012 Berkeley Way,,,Affordable Housing,Residential,"Located in the heart of downtown Berkeley, the site includes two side-by-side developments: BRIDGE’s Berkeley Way Apartments with 89 affordable homes and services for low- and very low- income families; and the Hope Center, with 53 permanent supportive housing apartments, a 32-bed homeless shelter, 12 transitional beds for homeless veterans, a community kitchen and wrap-around services for mental health, substance abuse, job training and social activities.",Berkeley
Bioswale at Rose and Hopkins,At Rose and Hopkins intersection,,,Storm,State / County,The intersection contained a large concrete traffic island. This location was identified as an opportunity to install a bio-swale while at the same time slightly altering the shape of the island to provide traffic calming while maintaining emergency vehicle access to the residences and to transit through this part of the City. This project was funded by Measure M.,Berkeley
Blake Apartments ,2527 San Pablo Avenue,,,Affordable Housing,Residential,"Blake Apartments will be the new construction of an affordable housing community for families and people with special needs. The six-story building will provide 63 homes as follows: 21 studio units, eight one-bedroom units, 33 two-bedroom units and one three-bedroom manager’s unit. Twelve homes are prioritized for people with an intellectual or developmental disability.",Berkeley
Cazadero Dining Hall & ADA Improvements,"5385 Cazadero Hwy, Cazadero, CA",,,Facility,State / County,"This is aMeasure T1Phase 2 project. Cazadero Camp is a 17-acre City-owned property in Sonoma County, outside Cazadero, CA. The camp is leased to the Berkeley-based non-profit Cazadero Performing Arts Camp (CPAC). As part of the City’s lease agreement, the City agreed to fund $400,000 of needed facility improvements, with CPAC funding the remaining $800,000. This project will make improvements to the Dining Hall roof and lighting, as well as ADA access. The project will start with roof replacement later this year. Improvements include the upgrades to the Dining Hall roof and electrical and accessibility improvements at Cazadero Camp. The Camp tenant pays a significant portion of funds for facility maintenance; T1 funds leverage this funding to maintain and improve the camp. These City-funded improvements are included in the lease agreement with Cazadero Performing Arts Camp.",Berkeley
Cedar Rose Park Playground Renovation,"Cedar Rose Park,1300 Rose Street, Berkeley, CA 94702",,,Park,State / County,"The Cedar Rose Park Playground Renovation Project will make improvements to the children's play area, which could include renovation of the Ages 2-5 playground, Ages 5-12 playground, pathways, site furnishings, fencing, and accessibility improvements. Cedar Rose Park was developed along a portion of the abandoned Santa Fe Railroad right-of-way, over a portion of the Bay Area Rapid Transit (BART) tunnel between North Berkeley and El Cerrito Bart Stations, and additional parcels purchased by the City of Berkeley. The park features a multi-purpose turf field, basketball courts, tennis courts, volleyball court, an ages 2-5 enclosed playground, and ages 5-12 playground, picnic area and a public restroom. This project is currently in the beginning planning phase. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to Cedar Rose Park Improvements email list” and provide your preferred contact information. Fill out our survey by June 9th to share your input on conceptual designs for renovations to Cedar Rose Park. Share your preferences on everything from the general design scheme to the specific materials and types of play structures you'd like to see in the playground. Take Survey",Berkeley
Cesar Chavez Park Restroom Project ,Cesar Chavez Park is located on the north portion of the Berkeley Marina. The proposed area for the public restroom is along the north side of Spinnaker Way where currently only portable toilets are available to the public.,,,Park,State / County,"This is a Measure T1 Phase 2 project. The Cesar Chavez Restroom Project includes the following: Currently the project is in the pre-design phase to solicitate for a design consultant to prepare the plans and specifications. Spinnaker Way has recently undergone major pavement, drainage and accessibility improvements where a sewer lateral was installed to accommodate the restroom building at this location.",Berkeley
City-wide Irrigation System,City-wide at various locations,,,Park,State / County,"This is a Measure T1 Phase 1 Project. There are approximately 80 irrigation controllers throughout Berkeley that the City operates to water and maintain our parks, fields and medians. Currently, each controller is individually programmed, monitored daily by City staff, and adjusted depending upon anticipated weather conditions. The new computer‐based irrigation system will help the City to effectively manage water across Berkeley’s irrigation systems in a centralized location, which will conserve water and control costs.",Berkeley
Citywide Restroom Assessment Project,Citywide,,,Other Infrastructure,State / County,"This is a Measure T1 Phase 1 project. On June 27, 2017, Council approved a Citywide Restroom Needs Assessment Project for Phase 1 of the Measure T1 bond program. The project was designed to perform an evaluation of existing public restrooms, a community input process, and research into ecologically friendly restrooms with the goal of providing recommended locations and types and conceptual designs for upgrades of existing and new public restroom solutions in Berkeley. From January 2019 through October 2020, the consultant (Hyphae Design Laboratory) conducted a data collection, mapping, and community engagement process that resulted in a Citywide Restroom Study called Berkeley WASH Assessment. The study contains an Executive Summary, Research Methodology and Findings, and Recommendations for improved public sanitation throughout Berkeley for planning purposes.",Berkeley
Civic Center Park Turtle Island Monument,"Civic Center Park,2151 Martin Luther King Jr. Way, Berkeley, CA 94704",,,Park,State / County,"This is aMeasure T1Phase 2 project. Martin Luther King Jr. Civic Center Park is located in Downtown Berkeley and is part of the Civic Center Historic District, which is listed on the National Register for Historic Places and is a registered City of Berkeley Landmark. Within Civic Center Park, there is a decommissioned fountain – it is 50-feet in diameter, with two tiered levels that step up to a cylindrical core where water jets and lights were once mounted. It was decommissioned in the mid-1970s and is planned to be converted into Turtle Island Monument, a reflection of the Indigenous creation story of Turtle Island, to honor all Indigenous people of this hemisphere. The City of Berkeley was the first city in the U.S. to declare Indigenous Peoples Day. A conceptual design was presented to the Landmarks Preservation and Civic Arts Commissions for feedback in November and December 2022 in preparation for an application for a Structural Alteration Permit to the Landmarks Preservation Commission. The conceptual designs were revised, and on March 30, 2023, the Landmarks Preservation Commission approved the Structural Alteration Permit. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to MLK Jr. Civic Center – Turtle Island Monument email list” and provide your preferred contact information. Secure funding, complete construction documents, and submit for construction permits. Construction anticipated in FY24.",Berkeley
