Permit.Number,Status,Date.Issued,Building.Type,Work.Type,StreetNumber,StreetName,StreetType,Valuation,Work.Description,Property.Address
B2021-03077-REV01,Issued,11/15/2022,Residential,Alteration,1719,FIFTH,St,68000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1719 FIFTH St, Berkeley, CA"
B2021-03078,Issued,01/11/2022,Residential,Alteration,1721,FIFTH,St,38000.0,"All roofs, building siding and windows shall be replaced. Where damage is found to other exterior components they will be replaced in kind.","1721 FIFTH St, Berkeley, CA"
B2021-03078-REV01,Issued,11/15/2022,Residential,Alteration,1721,FIFTH,St,38000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1721 FIFTH St, Berkeley, CA"
B2021-03079,Issued,02/22/2022,Residential,Alteration,1732,SIXTH,St,68000.0,"All roofs, building siding and windows shall be replaced. Where damage is found to other exterior components they will be replaced in kind.","1732 SIXTH St, Berkeley, CA"
B2021-03079-REV01,Issued,11/15/2022,Residential,Alteration,1732,SIXTH,St,68000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1732 SIXTH St, Berkeley, CA"
B2021-03080,Issued,02/22/2022,Residential,Alteration,1728,SIXTH,St,70000.0,"All roofs, building siding and windows shall be replaced. Where damage is found to other exterior components they will be replaced in kind.","1728 SIXTH St, Berkeley, CA"
B2021-03080-REV01,Issued,11/15/2022,Residential,Alteration,1728,SIXTH,St,70000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1728 SIXTH St, Berkeley, CA"
B2021-03081,Issued,07/13/2021,Residential,Alteration,1229,DWIGHT,Way,12680.0,"Reroof; tear off (E) 1-layer roof (flat roof), install 1 layer  1/2"" fanfold cover board, new jacks, new perimeter, metal, new membrane vents, new roof drains, new weather bond boot flashings.","1229 DWIGHT Way, Berkeley, CA"
B2021-03082,Issued,02/22/2022,Residential,Alteration,1736,SIXTH,St,70000.0,"All roofs, building siding and windows shall be replaced. Where damage is found to other exterior components they will be replaced in kind.","1736 SIXTH St, Berkeley, CA"
B2021-03082-REV01,Issued,11/15/2022,Residential,Alteration,1736,SIXTH,St,70000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1736 SIXTH St, Berkeley, CA"
B2021-03083,Issued,01/11/2022,Residential,Alteration,1734,SIXTH,St,38000.0,"All roofs, building siding and windows shall be replaced. Where damage is found to other exterior components they will be replaced in kind.","1734 SIXTH St, Berkeley, CA"
B2021-03083-REV01,Issued,11/15/2022,Residential,Alteration,1734,SIXTH,St,38000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1734 SIXTH St, Berkeley, CA"
B2021-03084,Issued,01/11/2022,Residential,Alteration,1811,DELAWARE,St,81000.0,"All roofs, building siding and windows shall be replaced. Where damage is found to other exterior components they will be replaced in kind.  Code Enforcement Case (WD)","1811 DELAWARE St, Berkeley, CA"
B2021-03084-REV01,Issued,12/21/2022,Residential,Alteration,1811,DELAWARE,St,81000.0,Reduced scope (roof work omitted) and addition of seismic gas shut off valves.,"1811 DELAWARE St, Berkeley, CA"
B2021-03087,Issued,10/19/2021,Residential,Alteration,40,HILLCREST,Rd,85000.0,"Remodel existing habitable basement  to new ADU having one bedroom, bathroom, living room, dining and kitchen Modify existing mechanical and plumbing systems for new work.
* Owner added additional Electrical work n 12-20-21* D.C. *[x.REF B2022-04142 for Meter and Panel Upgrades S.B.]","40 HILLCREST Rd, Berkeley, CA"
B2021-03091,Issued,07/21/2021,Residential,Alteration,479,VASSAR,Ave,0.0,200A main panel upgrade.,"479 VASSAR Ave, Berkeley, CA"
B2021-03093,Issued,09/10/2021,Residential,Alteration,1414,MCGEE,Ave,8000.0,Voluntary seismic retrofit of crawl space at single family dwelling for Transfer Tax Rebate,"1414 MCGEE Ave, Berkeley, CA"
B2021-03097,Issued,07/14/2021,Residential,Alteration,1135,THE ALAMEDA,,40000.0,Replace kitchen cabinets and appliances w/ new wood cabinets and new appliances.  Gas stove replace by induction stove.  No layout changes.,
B2021-03097-REV01,Issued,09/20/2021,Residential,Alteration,1135,THE ALAMEDA,,10000.0,"Bath remodel and strengthen existing beam at rear of kitchen. Valuation increased from $18,000 to $28,000.",
B2021-03097-REV02,Issued,09/24/2021,Residential,Alteration,1135,THE ALAMEDA,,12000.0,"Revision to replace the second floor bathroom tiles, shower area, toilet & sink Move toilet 6” to the right. Increase valuation from $28,000 to $40,000.",
B2021-03098,Issued,10/04/2021,Residential,Addition/Alteration,1000,KEELER,Ave,35000.0,Residential addition with new wood deck and 48 sq. ft. sauna room attached to existing studio. Fire Zone 2,"1000 KEELER Ave, Berkeley, CA"
B2021-03099,Issued,07/14/2021,Residential,Alteration,1510,GRIZZLY PEAK,Blvd,0.0,upgrade from 100 amps to 200 amps,"1510 GRIZZLY PEAK Blvd, Berkeley, CA"
B2021-03100,Issued,07/14/2021,Residential,Alteration,2845,WOOLSEY,St,55000.0,"Removal of dry-rot shingles, installation of vapor barrier, and installation of new cedar shingles- Item 1I, IJ, Ik-2, 3d, 6A, 6B,6D, 6F, 6H, 6M on pest report.","2845 WOOLSEY St, Berkeley, CA"
B2021-03101,Issued,08/27/2021,Residential,Alteration,1854,SAN RAMON,Ave,8000.0,Seismic Retrofit.  Property in Fire Zone 2.,"1854 SAN RAMON Ave, Berkeley, CA"
B2021-03102,Issued,09/08/2021,Residential,Alteration,2410,GRANT,St,1200.0,Demolish 319 s.f. garage and garden structure and lawfully remove all material from the site.,"2410 GRANT St, Berkeley, CA"
B2021-03104,Issued,12/07/2021,Residential,Alteration,2731,HASTE,St,20000.0,Soft story retrofit per BMC 19.39. See permit B2018-04420- Cancellation Letter.  Property in Fire Zone 2.,"2731 HASTE St, Berkeley, CA"
B2021-03109,Issued,07/20/2021,Residential,Alteration,1460,SUMMIT,Rd,0.0,"200A main panel upgrade, 20 circuits, 10 jumpers.","1460 SUMMIT Rd, Berkeley, CA"
B2021-03110,Issued,08/05/2021,Residential,Alteration,728,ENSENADA,Ave,0.0,"Replace waterlines with new copper lines, install new Navien outdoor tank less water heater, install shut off valve.","728 ENSENADA Ave, Berkeley, CA"
B2021-03111,Issued,07/20/2021,Residential,Alteration,1805,BLAKE,St,0.0,200A main panel upgrade.,"1805 BLAKE St, Berkeley, CA"
B2021-03113,Issued,07/19/2021,Residential,Alteration,1575,ALLSTON,Way,0.0,"Provide and install new Mitsubishi Variable speed 30 KBTU/Hr. ducted indoor fan coil unit SVZ-KP Series/Provide and install new light with switch and service outlet near the new Air handler as per code/Cut all new vents on floor for different areas of the home, in customer agreed locations/Provide and install new 30 KBTU/Hr. Mitsubishi Heat Pump SUZ-KA Series/","1575 ALLSTON Way, Berkeley, CA"
B2021-03114,Issued,07/15/2021,Residential,Alteration,6,MUIR,Way,21780.0,Tear off existing roof. Re-roof with class A comp shingles.,"6 MUIR Way, Berkeley, CA"
B2021-03115,Issued,10/26/2021,Residential,Addition/Alteration,1441,KAINS,Ave,70000.0,"Residential remodel, including 70 sq ft addition to first floor, plus kitchen, bath and structural upgrades.","1441 KAINS Ave, Berkeley, CA"
B2021-03117,Issued,08/25/2021,Residential,Alteration,2815,PARK,St,60000.0,"Interior Kitchen Remodel, remove non-bearing wall between kitchen and dining room.","2815 PARK St, Berkeley, CA"
B2021-03118,Issued,07/15/2021,Residential,Alteration,2703,FOREST,Ave,0.0,Replacing gas line in crawlspace,"2703 FOREST Ave, Berkeley, CA"
B2021-03119,Issued,07/28/2021,Residential,Alteration,1414,SEVENTH,St,0.0,Add central AC to existing system.  AC RA1624AJ1NA 16 SEER,"1414 SEVENTH St, Berkeley, CA"
B2021-03120,Issued,11/01/2022,Residential,Demolition,1824,CURTIS,St,3000.0,Demolish 160 SqFt detached garage. (See ADU permit B2021-03122.),"1824 CURTIS St, Berkeley, CA"
B2021-03121,Issued,07/19/2021,Residential,Alteration,2111,EUNICE,St,0.0,Provide and install two new 9 KBTU/Hr. Ductless Designer Style High wall units to service both bedrooms located in bottom floor/Units to be mounted on exterior wall at least 6Ft of the ground and 4-6” below the ceiling/Provide and install new 240VAC 40AMP circuit from main electrical panel to new local disconnect fused box/,"2111 EUNICE St, Berkeley, CA"
B2021-03123,Issued,07/16/2021,Residential,Alteration,3004,WHEELER,St,13000.0,"Tear off existing composition shingles and re-roof with new 30-year
composition shingles. Project sq. ft. - 1,400","3004 WHEELER St, Berkeley, CA"
B2021-03125,Issued,07/27/2021,Residential,Alteration,2220,CARLETON,St,80000.0,"**Tankless Water heater was already added to trade permit /Also added additional Mech. items .**

Rear Unit. Remodel of kitchen, convert single bathroom to 2 bathrooms, replace windows in kind, add recessed lighting throughout home, upgrade electrical from knob and tube to romex in both units. Replacing plumbing lines in both units.","2220 CARLETON St, Berkeley, CA"
B2021-03125-REV01,Issued,03/02/2022,Residential,Alteration,2220,CARLETON,St,80000.0,New tankless water heater and FAU at crawl space. *** No Change in Valuation***,"2220 CARLETON St, Berkeley, CA"
B2021-03135,Issued,08/17/2021,Residential,Alteration,2323,GRANT,St,41000.0,Replace rear deck and stairs in kind,"2323 GRANT St, Berkeley, CA"
B2021-03136,Issued,07/19/2021,Residential,Alteration,2915,KING,St,2500.0,Upgrade electrical main  service panel to 200 amps.,"2915 KING St, Berkeley, CA"
B2021-03140,Issued,08/12/2021,Residential,Alteration,527,SAN LUIS,Rd,14221.0,Remove existing roof. Install 8.24427 KW PV solar roof (141 Tiles / 21 Squares) & two (2) Energy Storage Systems.  Fire zone 2,"527 SAN LUIS Rd, Berkeley, CA"
B2021-03140-REV01,Issued,09/28/2021,Residential,Alteration,527,SAN LUIS,Rd,3548.0,"Revision to upsize the system to 10.64154 KW, add 41 tiles & correct the electrical line drawing to match the install. Increase valuation from $10,673 to $14,221.","527 SAN LUIS Rd, Berkeley, CA"
B2021-03140-REV02,Issued,10/08/2021,Residential,Alteration,527,SAN LUIS,Rd,0.0,Revision to correct the electrical line drawing to match install & remove AC disconnect. No increase in valuation.,"527 SAN LUIS Rd, Berkeley, CA"
B2021-03141,Issued,08/06/2021,Residential,Alteration,1157,OXFORD,St,7835.0,Plan Set A - Seismic For Transfer Tax Rebate.  Property in Fire Zone 2.,"1157 OXFORD St, Berkeley, CA"
B2021-03142,Issued,07/30/2021,Residential,Alteration,1705,CHANNING,Way,3859.0,Engineered Seismic Retrofit in accordance with CBC Chapter A3 for Transfer Tax Rebate.,"1705 CHANNING Way, Berkeley, CA"
B2021-03143,Issued,07/22/2021,Residential,Alteration,1405,MCGEE,Ave,0.0,Install 5.1 KW PV solar panels (15 modules) on the roof with one (1) Energy Storage System.,"1405 MCGEE Ave, Berkeley, CA"
B2021-03145,Issued,07/30/2021,Residential,Alteration,1462,CAMPUS,Dr,0.0,Install 11.4 KW PV solar panels (45 modules) on the roof with a new 9.8 KWh battery & 125 AMP backup loads subpanel.  Fire zone 2,"1462 CAMPUS Dr, Berkeley, CA"
B2021-03147,Issued,08/10/2021,Residential,Alteration,2933,PIEDMONT,Ave,0.0,Install 3.60 KW PV solar panels (9 modules) on the roof with Battery Storage.,"2933 PIEDMONT Ave, Berkeley, CA"
B2021-03147-REV01,Issued,09/24/2021,Residential,Alteration,2933,PIEDMONT,Ave,0.0,Revision to remove the AC disconnect & install RPO switch. No increase in valuation.,"2933 PIEDMONT Ave, Berkeley, CA"
B2021-03149,Issued,07/19/2021,Residential,Alteration,609,SAN MIGUEL,Ave,14000.0,"Remove (E) roof, repair any dry rot , install gutters, install new nailed glass base, install new torch down bitumen, install new elastomeric paint.","609 SAN MIGUEL Ave, Berkeley, CA"
B2021-03150,Issued,07/05/2022,Residential,Alteration,661,SAN LUIS,Rd,129000.0,"Remove & replace windows, doors & partition walls. Relocate kitchen to existing family room area, relocate family room to existing kitchen location, new fixtures & appliances. Remodel & reconfigure laundry room & bathrooms. New heat pump & air handler. Fire Zone 2 Property.","661 SAN LUIS Rd, Berkeley, CA"
B2021-03150-REV01,Issued,10/03/2022,Residential,Alteration,661,SAN LUIS,Rd,0.0,Revision 01 to move an existing doorway & level the ceiling at the kitchen area. No increase in valuation. Fire Zone 2 Property.,"661 SAN LUIS Rd, Berkeley, CA"
B2021-03160,Issued,07/19/2021,Residential,Alteration,698,GRIZZLY PEAK,Blvd,0.0,Replace federal pacific panel with new 100A sub panel.,"698 GRIZZLY PEAK Blvd, Berkeley, CA"
B2021-03167,Issued,07/19/2021,Residential,Alteration,1945,YOSEMITE,Rd,40000.0,"Tear off old layers, install new 1/2"" plywood, install new class A comp roof.","1945 YOSEMITE Rd, Berkeley, CA"
B2021-03168,Issued,02/02/2022,Mixed Use,Alteration,1370,UNIVERSITY,Ave,45600.0,This is a minor modification to an existing rooftop wireless communications site.  Proposal involves adding 3 antennas to the facade of a rooftop penthouse.,"1370 UNIVERSITY Ave, Berkeley, CA"
B2021-03169,Issued,08/20/2021,Residential,Alteration,1926,OREGON,St,21500.0,Engineered Seismic Retrofit for Transfer Tax Rebate.,"1926 OREGON St, Berkeley, CA"
B2021-03172,Issued,07/19/2021,Residential,Alteration,2545,HILLEGASS,Ave,30000.0,"Replacement of the roof, tear off and new asphalt shingles and torch down.","2545 HILLEGASS Ave, Berkeley, CA"
B2021-03182,Issued,07/20/2021,Residential,Alteration,2637,DANA,St,0.0,Install one 220V dedicated circuit that will be 30A and one 14-50 nema receptacle.  This will be for a car charger.,"2637 DANA St, Berkeley, CA"
B2021-03183,Issued,07/20/2021,Residential,Alteration,1761,MARIN,Ave,15000.0,Residential Re-roof- Asphalt Torch Down.,"1761 MARIN Ave, Berkeley, CA"
B2021-03185,Issued,07/22/2021,Residential,Alteration,2912,CLAREMONT,Ave,8950.0,Install French drain on the rear right side of the home adjacent to the basement. Discharge line will run under the sidewalk to the street gutter. Associated engineering permit #P2021-00883.  Fire zone 2,"2912 CLAREMONT Ave, Berkeley, CA"
B2021-03186,Issued,10/14/2021,Residential,Alteration,2312,ROSE,St,15000.0,Legalize basement workshop conversion to ADU.  Fire zone 2,"2312 ROSE St, Berkeley, CA"
B2021-03188,Issued,06/14/2022,Residential,Alteration,2515,ROSE,Walk,11000.0,Removing and replacing dilapidated exterior landscape steps and handrail with new steps and handrail.  Property in Fire Zone 2.,"2515 ROSE Walk, Berkeley, CA"
B2021-03189,Issued,07/27/2021,Residential,Alteration,1818,SEVENTH,St,5000.0,Install (3) channel drains on the surface.,"1818 SEVENTH St, Berkeley, CA"
B2021-03191,Issued,07/22/2021,Residential,Alteration,5,SENIOR,Ave,20169.0,Replace existing furnace with 96% AF/UE (asbestos boots) replace ductless mini split.,"5 SENIOR Ave, Berkeley, CA"
B2021-03193,Issued,07/20/2021,Residential,Alteration,1116,COWPER,St,12500.0,Re-roof flat roof w/approx 10 squares at rear of the home using certainteed flintlastic C+A torch down.  Class A.,"1116 COWPER St, Berkeley, CA"
B2021-03194,Issued,07/20/2021,Residential,Alteration,541,WOODMONT,Ave,21000.0,Bathroom Remodel,"541 WOODMONT Ave, Berkeley, CA"
B2021-03195,Issued,07/20/2021,Residential,Alteration,1518,ADDISON,St,10600.0,Install polyurethane foam over existing BUR system.,"1518 ADDISON St, Berkeley, CA"
B2021-03200,Issued,09/22/2021,Residential,Demolition,770,PAGE,St,20000.0,Demolish 900 SqFt one story single family residence.,"770 PAGE St, Berkeley, CA"
B2021-03201,Issued,11/04/2021,Residential,Alteration,743,HILLDALE,Ave,94700.0,"Foundation repair for seismic rebate. Replace perimeter foundation, replace post footings, underpinning using hand dug pits.","743 HILLDALE Ave, Berkeley, CA"
B2021-03202,Issued,07/20/2021,Residential,Alteration,1504,GRANT,St,42430.0,"1504 & 1508 Grant St.-Replacing 28 windows in kind, no change to openings","1504 GRANT St, Berkeley, CA"
B2021-03203,Issued,07/21/2021,Residential,Alteration,2211,BLAKE,St,0.0,Upgrade main service panel to 300AMPs with 3 existing meters. Upgrade sub-panel to 100 amps. All three meters are on the main house.,"2211 BLAKE St, Berkeley, CA"
B2021-03205,Issued,05/02/2022,Residential,Alteration,1727,OREGON,St,72225.0,E3 Deck rebuild per plan in kind [x.REF PSL Permit #P2022-00445],"1727 OREGON St, Berkeley, CA"
B2021-03206,Issued,07/20/2021,Residential,Alteration,1128,FRESNO,Ave,8823.0,Installing Air Conditioning Unit,"1128 FRESNO Ave, Berkeley, CA"
B2021-03209,Issued,07/21/2021,Residential,Alteration,1116,MILLER,Ave,18835.0,Remove existing tar and gravel roof and install new modified bitumen roof system- 20 squares,"1116 MILLER Ave, Berkeley, CA"
B2021-03214,Issued,08/25/2021,Residential,Alteration,832,ADDISON,St,16000.0,"In-kind fungus dry rot repairs:  items 3A, 3B, and 3C.  Termite report 210468","832 ADDISON St, Berkeley, CA"
B2021-03218,Issued,08/26/2021,Residential,Alteration,1093,STERLING,Ave,20000.0,Repair Deck for dry rot repair,"1093 STERLING Ave, Berkeley, CA"
B2021-03223,Issued,08/24/2021,Residential,Alteration,1635,SCENIC,Ave,15000.0,In kind stucco dry rot repairs item 6D.  Termite Report #210654.  Property in Fire Zone 2.,"1635 SCENIC Ave, Berkeley, CA"
B2021-03225,Issued,07/21/2021,Residential,Alteration,1529,RUSSELL,St,0.0,Relocate (E) electrical panels from side to front of building.,"1529 RUSSELL St, Berkeley, CA"
B2021-03226,Issued,07/21/2021,Residential,Alteration,2321,WEBSTER,St,0.0,Replace wall heater -unit 14,"2321 WEBSTER St, Berkeley, CA"
B2021-03228,Issued,09/20/2021,Residential,Addition/Alteration,480,VASSAR,Ave,44600.0,Interior remodel of main & second floor bathrooms. Fire Zone 2 Property.,"480 VASSAR Ave, Berkeley, CA"
B2021-03231,Issued,10/28/2021,Residential,Alteration,1565,BEVERLY,Pl,15500.0,Remove and replace existing concrete stairs & landings over framing,"1565 BEVERLY Pl, Berkeley, CA"
B2021-03232,Issued,07/22/2021,Residential,Alteration,3027,BENVENUE,Ave,0.0,Provide and install (1) fire alarm nd (1) strobe.,"3027 BENVENUE Ave, Berkeley, CA"
B2021-03236,Issued,09/08/2021,Residential,New,2936,PIEDMONT,Ave,40000.0,"Construction of HCD approved and inspected Factory Built Housing ADU. ADU to be fully completed in Factory and installed on Concrete t-footing foundation, connected to site utilities.","2936 PIEDMONT Ave, Berkeley, CA"
B2021-03239,Issued,07/21/2021,Residential,Alteration,31,DEL MAR,Ave,0.0,Install a (2) zone mini split heat pump system.,"31 DEL MAR Ave, Berkeley, CA"
B2021-03240,Issued,09/08/2021,Residential,Alteration,14,EUCALYPTUS,Rd,60000.0,"Remove & replace windows, replace window with french doors, remove & replace partition walls & remodel the kitchen. Fire Zone 2 Property.","14 EUCALYPTUS Rd, Berkeley, CA"
B2021-03248,Issued,09/20/2021,Residential,Alteration,2301,RUSSELL,St,40000.0,Demolish and replace Foundation on the east side of structure.  includes removal of stucco and shear wall plywood on first floor wall.,"2301 RUSSELL St, Berkeley, CA"
B2021-03249,Issued,08/17/2021,Residential,Alteration,205,FAIRLAWN,Dr,6000.0,Foundation repair for transfer tax rebate.,"205 FAIRLAWN Dr, Berkeley, CA"
B2021-03250,Issued,07/27/2021,Residential,Alteration,1637,SEVENTH,St,3734.0,"Replace 4 retrofit vinyl windows, like for like, same location","1637 SEVENTH St, Berkeley, CA"
B2021-03251,Issued,07/27/2021,Residential,Alteration,63,BONNIE,Ln,1500.0,Rafter Upgrades for PV solar being installed under permit B2021-03155.  Fire zone 2,"63 BONNIE Ln, Berkeley, CA"
B2021-03252,Issued,07/30/2021,Residential,Alteration,3021,ACTON,St,18231.0,Plan Set A - Voluntary Seismic For Transfer Tax Rebate.,"3021 ACTON St, Berkeley, CA"
B2021-03255,Issued,08/03/2021,Residential,Alteration,65,TUNNEL,Rd,0.0,Furnace change out AFUE 96,"65 TUNNEL Rd, Berkeley, CA"
B2021-03256,Issued,07/27/2021,Residential,Alteration,1636,DELAWARE,St,7934.0,"Replace 7 retrofit vinyl windows, like for like, same location","1636 DELAWARE St, Berkeley, CA"
B2021-03263,Issued,08/02/2021,Residential,Alteration,1460,SUMMIT,Rd,22500.0,Engineered Seismic Retrofit for Transfer Tax Rebate. Fire Zone 2 Property.,"1460 SUMMIT Rd, Berkeley, CA"
B2021-03270,Issued,07/27/2021,Residential,Alteration,42,MENLO,Pl,45000.0,Bathroom remodel for upstairs bathroom.  Property in Fire Zone 2.,"42 MENLO Pl, Berkeley, CA"
B2021-03270-REV01,Issued,08/04/2021,Residential,Alteration,42,MENLO,Pl,45000.0,Replace bathroom window with awning window.,"42 MENLO Pl, Berkeley, CA"
B2021-03271,Issued,08/04/2021,Residential,Alteration,2730,TENTH,St,20000.0,ADU Remodel,"2730 TENTH St, Berkeley, CA"
B2021-03272,Issued,05/23/2022,Residential,New,77,TAMALPAIS,Rd,23200.0,Culvert outfall stabilization project at Codornices creek.  Property in Fire Zone 2.,"77 TAMALPAIS Rd, Berkeley, CA"
B2021-03272-REV01,Issued,11/09/2022,Residential,New,77,TAMALPAIS,Rd,23200.0,"Revisions to headwall design to eliminate helical tie-backs, to partially replace s. bank soldier pile wall with a wing of the revised concrete headwall and to incorporate emergency shoring wall installation.","77 TAMALPAIS Rd, Berkeley, CA"
B2021-03273,Issued,07/22/2021,Residential,Alteration,1181,COLUSA,Ave,0.0,"Inspection of installed central furnace, per housing case #H2021-00012 item #21.","1181 COLUSA Ave, Berkeley, CA"
B2021-03274,Issued,08/19/2021,Residential,Alteration,650,VINCENTE,Ave,0.0,Install 4.070 KW PV solar panels on the roof with a new 200 AMP main service panel & 240 / 120 V subpanel. Fire Zone 2 Property.,"650 VINCENTE Ave, Berkeley, CA"
B2021-03274-REV01,Issued,08/19/2021,Residential,Alteration,650,VINCENTE,Ave,0.0,Revision to add a 60 AMP AC disconnect. No increase in valuation. Fire Zone 2 Property.,"650 VINCENTE Ave, Berkeley, CA"
B2021-03275,Issued,07/27/2021,Residential,Alteration,1817,FAIRVIEW,St,0.0,Replace electrical wiring for both units and upgrade main panel 200 amps with a subpanel in each unit. Unit 1817 & 1817A **SUBJECT TO FIELD INSPECTION**,"1817 FAIRVIEW St, Berkeley, CA"
B2021-03276,Issued,09/02/2021,Residential,Alteration,2817,PRINCE,St,9500.0,Remodel Existing bathroom. No Structural work.,"2817 PRINCE St, Berkeley, CA"
B2021-03277,Issued,07/22/2021,Residential,Alteration,1006,WILDCAT CANYON,Rd,0.0,Replace existing A/C and adding circuit for new central system.,"1006 WILDCAT CANYON Rd, Berkeley, CA"
B2021-03278,Issued,07/26/2021,Residential,Alteration,2124,PARKER,St,0.0,"Remove old wall heater and install new Williams wall heater 35,000 BTU","2124 PARKER St, Berkeley, CA"
B2021-03280,Issued,08/17/2021,Residential,Alteration,2136,JEFFERSON,Ave,10000.0,Half bathroom remodel (like for like),"2136 JEFFERSON Ave, Berkeley, CA"
B2021-03281,Issued,08/02/2021,Residential,Alteration,1333,GRANT,St,0.0,"- Install a 3/4"" copper water line
- Install a GFCI Electrical outlet","1333 GRANT St, Berkeley, CA"
B2021-03285,Issued,07/26/2021,Residential,Alteration,1232,GLEN,Ave,0.0,Upgrading main panel from 100 Amps to 200 Amps,"1232 GLEN Ave, Berkeley, CA"
B2021-03287,Issued,09/28/2021,Residential,Demolition,1441,CORNELL,Ave,3500.0,Demolish existing garage 285sqft,"1441 CORNELL Ave, Berkeley, CA"
B2021-03288,Issued,07/27/2021,Residential,Alteration,2724,ALCATRAZ,Ave,21040.0,Install 10.40 KW PV solar panels (26 modules) on the roof with rafter upgrades.,"2724 ALCATRAZ Ave, Berkeley, CA"
B2021-03288-REV01,Issued,10/22/2021,Residential,Alteration,2724,ALCATRAZ,Ave,1500.0,"Revision to upgrade the main service panel to 225 AMPs. Increase valuation from $21,040 to $22,540.","2724 ALCATRAZ Ave, Berkeley, CA"
B2021-03291,Issued,08/05/2021,Residential,Alteration,1746,VIRGINIA,St,1500.0,"nstall (new) 125amp Subpanel next to existing Main Service Panel to create breaker space. Feed (new) subpanel with a 70amp breaker. Add EV charger.
Install 60 feet of 3/4 EMT with #6 wire underneath crawlspace Penetrate wall and run conduit along trelis into a (new) Nema 14-50, Install 50amp breaker and terminate conductors.","1746 VIRGINIA St, Berkeley, CA"
B2021-03292,Issued,12/06/2022,Residential,Addition/Alteration,2200,DWIGHT,Way,400000.0,"Change 1st floor covered parking garage and storage to a 3 accessory dwelling unit, total area 2094sf. 
[x.REF P2022-01624]","2200 DWIGHT Way, Berkeley, CA"
B2021-03294,Issued,07/26/2021,Residential,Alteration,763,SAN DIEGO,Rd,0.0,200A main panel upgrade and 200A sub panel.,"763 SAN DIEGO Rd, Berkeley, CA"
B2021-03295,Issued,07/06/2022,Residential,Alteration,2409,CARLETON,St,50000.0,"Renovation of an existing single-story, 211 SF cottage/ADU. Work consists of full interior renovation, repair of existing exterior siding and roof, new windows and doors.","2409 CARLETON St, Berkeley, CA"
B2021-03296,Issued,08/27/2021,Residential,Alteration,1815,SHORT,St,0.0,Ductless mini-split heat pump model ROSH18AXFWJ and air handler model RIWH18ASJ.,"1815 SHORT St, Berkeley, CA"
B2021-03297,Issued,07/30/2021,Residential,Alteration,2824,KELSEY,St,0.0,"Install 3.8 KW PV solar panels (8 modules) with a 13.5 KWh battery, 125 AMP panel & 200 AMP backup gateway.","2824 KELSEY St, Berkeley, CA"
B2021-03297-REV01,Issued,12/16/2021,Residential,Alteration,2824,KELSEY,St,0.0,Revision to relocate modules. No increase in valuation.,"2824 KELSEY St, Berkeley, CA"
B2021-03297-REV02,Issued,12/14/2021,Residential,Alteration,2824,KELSEY,St,0.0,Revision to remove the generation panel & install circuits. No increase in valuation.,"2824 KELSEY St, Berkeley, CA"
B2021-03298,Issued,07/28/2021,Residential,Alteration,1192,OXFORD,St,0.0,HVAC installation of air handler and heat pump with duct work.,"1192 OXFORD St, Berkeley, CA"
B2021-03301,Issued,06/13/2022,Residential,Alteration,55,TAMALPAIS,Rd,83000.0,New reinforcement concrete headwall and pier-supported lagging wall. Demolition and reconstruction of the stairway atop the new retaining wall.  Property in Fire Zone 2.,"55 TAMALPAIS Rd, Berkeley, CA"
B2021-03301-REV01,Issued,11/09/2022,Residential,Alteration,55,TAMALPAIS,Rd,83000.0,"Revisions to headwall design to eliminate helical tie-backs, to partially replace s. bank soldier pile wall with a wing of the revised concrete headwall and to incorporate emergency shoring wall installation.","55 TAMALPAIS Rd, Berkeley, CA"
B2021-03302,Issued,07/20/2022,Mixed Use,New,2352,SHATTUCK,Ave,11607050.0,"Phase II of South Building: Architectural, Structural Super Structure, MEP and landscaping for Eight-story mixed use building with five stories of Type IIIA residential space over 3 stories of Type IA mixed use. Phase I under Permit number B2019-05575","2352 SHATTUCK Ave, Berkeley, CA"
B2021-03302-DEF03,Issued,11/08/2022,Mixed Use,New,2352,SHATTUCK,Ave,11607050.0,Metal Stud Deferral,"2352 SHATTUCK Ave, Berkeley, CA"
B2021-03304,Issued,07/27/2021,Residential,Alteration,19,OAKVALE,Ave,0.0,Replace 200-amp main panel with 125-amp main panel as being required by PG&E,"19 OAKVALE Ave, Berkeley, CA"
B2021-03305,Issued,05/10/2022,Residential,Alteration,183,FAIRLAWN,Dr,22000.0,"Construct series of short retaining walls, construct deck, PER N.O.V attached - Property in Fire Zone 2.","183 FAIRLAWN Dr, Berkeley, CA"
B2021-03307,Issued,07/26/2021,Residential,Alteration,1248,PERALTA,Ave,0.0,Relocate service entrance and upgrade to 200amps 120/240volt,"1248 PERALTA Ave, Berkeley, CA"
B2021-03308,Issued,09/27/2021,Residential,Alteration,532,VINCENTE,Ave,0.0,Install 7.6 KW PV solar panels (25 modules) on the roof with a 13.5 KWh battery & 200 AMP backup gateway & 200 AMP internal panelboard. Fire Zone 2 Property.,"532 VINCENTE Ave, Berkeley, CA"
